date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,flu report,swine flu symptoms,oscillococcinum,bronchitis,contagious flu,cdc flu,flu fever,vermont flu,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,flu vs cold,taking temperature,uvm flu shots,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,flu symptoms 2017,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,flu and fever,signs of flu,flu care,flu children,thermoscan,flu treatment,cdc flu map,the flu virus,how long does flu last,human temperature,how long is flu contagious,is flu contagious,how long is the flu contagious,cold or flu,flu map,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,signs of the flu,how long flu,flu or cold,fever cough,ear thermometer
2015-11-01,17,24,26,8,0,36,12,0,0,0,0,0,37,0,0,36,0,0,0,36,0,0,0,76,0,0,50,0,0,0,0,57,0,39,0,0,0,36,0,28,76,69,0,0,0,0,0,0,0,39,0,0,0,0,0,44,12,0,25,0,0,0,0,0,75,0
2015-12-01,10,34,25,8,0,34,17,12,0,0,0,0,61,0,0,0,27,0,0,34,0,0,0,0,0,0,64,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,37,42,6,0,32,0,46,0,12,37,0,0
2016-01-01,10,0,50,16,0,27,9,10,0,0,0,0,63,0,0,27,0,0,0,0,0,40,0,58,0,0,29,0,34,0,26,44,0,20,0,0,0,27,0,0,58,0,0,0,0,0,0,0,0,30,81,0,0,0,0,0,14,23,38,0,0,0,10,0,29,0
2016-02-01,10,18,59,13,43,41,5,10,0,0,0,0,90,0,0,0,0,29,0,0,29,0,0,0,0,54,45,26,0,0,0,43,0,50,0,0,0,0,10,21,0,0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,9,23,19,0,0,55,10,0,0,0
2016-03-01,10,17,56,15,0,78,0,14,0,0,0,0,73,22,26,26,0,0,22,52,0,38,0,0,0,0,58,0,0,0,25,0,0,38,84,0,0,26,0,0,0,0,0,0,0,0,31,55,45,28,39,0,0,65,0,32,15,22,0,0,0,0,14,0,41,0
2016-04-01,11,19,20,13,44,28,0,21,0,35,0,0,21,0,0,28,0,0,0,28,0,0,0,0,0,0,66,0,34,0,0,0,0,41,0,0,0,28,0,0,0,53,0,0,55,0,0,0,0,0,42,0,0,0,0,34,18,0,20,0,0,56,21,0,58,55
2016-05-01,6,19,0,3,44,0,0,0,0,0,0,0,72,0,0,28,45,0,0,56,0,0,0,0,100,0,30,27,35,0,0,0,0,41,0,0,0,28,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,5,24,26,0,38,0,0,0,0,0
2016-06-01,4,0,23,0,0,0,5,12,0,0,0,0,33,0,0,0,0,0,0,32,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,54,30,0,0,0,12,0,33,62
2016-07-01,4,0,23,11,0,31,0,12,0,0,0,0,16,0,0,0,0,33,0,0,33,0,0,0,0,0,30,31,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,15,0,0,0,12,0,0,62
2016-08-01,5,0,23,4,0,31,0,0,0,0,0,0,32,26,0,32,25,0,26,32,0,0,0,0,0,0,37,31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,59,0,0,37,0,0,0,0,0,0,0,0,0,10,0,29,0,0,0,0,0,0,0
