date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu maryland,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,fever,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,stomach,how long is flu contagious,treatment for flu,cdc flu,taking temperature,exposed to flu,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2013-05-01,6,3,0,4,0,12,0,0,0,0,0,2,0,0,0,38,1,1,0,0,6,3,10,0,0,0,2,4,0,0,0,0,10,8,60,0,8,1,1,0,0,0,10,10,10,30,15,0,0,0,0,0,13,0,32,0,0,32,0,12,7,17,2,3,6,0,3,7,0,60,0,0,0,8,0,0,0,0,0,64,0,12,6,0,6,0,42,0,4,9,9,0,0,4,0,0,50
2013-06-01,4,0,3,3,0,0,0,0,12,2,0,2,0,0,0,42,1,1,0,0,4,7,10,0,0,0,4,2,2,0,0,0,10,0,30,0,7,0,2,0,0,0,10,0,10,7,37,7,0,0,0,0,0,1,31,0,0,5,0,10,0,7,2,0,4,3,0,0,0,47,0,0,1,0,0,0,0,0,0,62,0,0,0,6,0,1,30,0,3,0,0,9,0,0,0,0,33
2013-07-01,5,0,0,4,0,0,0,0,0,3,0,3,0,0,0,38,1,1,0,1,4,4,7,4,0,2,7,0,0,0,11,0,0,9,51,0,9,0,2,0,0,0,0,0,11,9,60,9,0,0,31,15,31,0,32,0,0,8,0,17,6,13,2,2,2,0,0,0,4,51,0,0,1,0,0,9,0,0,0,71,0,7,10,7,0,0,30,0,2,0,0,10,0,0,0,0,49
2013-08-01,7,0,0,9,0,0,0,0,0,7,3,8,0,0,0,33,1,1,0,0,2,6,6,0,0,0,5,0,2,0,0,0,11,9,21,0,9,1,3,0,0,0,17,11,11,9,26,9,0,15,0,0,0,1,27,1,0,11,0,11,0,14,2,0,13,0,0,0,0,46,0,0,1,0,0,0,0,1,0,61,0,0,7,13,0,0,24,2,2,0,0,10,10,0,0,0,32
2013-09-01,18,0,0,3,0,15,0,0,0,42,3,0,0,1,0,42,3,2,0,1,8,14,4,0,0,2,0,2,7,0,23,0,0,18,49,0,27,1,30,0,0,24,24,0,18,18,36,0,0,0,0,16,16,1,42,0,0,30,0,12,6,13,4,0,29,4,0,0,0,48,1,0,1,19,0,0,0,0,0,57,0,10,21,7,0,0,34,0,2,0,21,11,0,4,4,0,82
2013-10-01,30,0,3,3,0,14,0,0,14,97,0,0,0,1,0,52,2,1,0,0,16,40,10,4,0,0,9,7,5,11,34,11,11,0,48,9,17,0,52,0,0,12,17,0,23,17,43,0,0,0,0,0,16,1,45,0,0,23,0,20,6,18,7,5,52,8,4,4,0,58,0,0,2,18,0,0,0,1,0,59,0,7,20,13,0,0,34,0,4,21,21,21,31,4,4,0,60
2013-11-01,20,0,3,3,6,15,0,0,15,43,3,3,3,1,0,59,3,1,0,1,11,12,24,4,0,0,7,0,2,0,23,0,0,18,54,9,13,0,25,0,1,30,12,12,12,18,27,9,0,0,0,0,48,1,35,0,0,21,0,15,0,22,5,0,28,4,12,0,0,56,1,0,2,9,0,19,0,0,0,60,0,0,14,17,0,2,58,0,5,22,11,22,22,0,0,0,64
2013-12-01,17,3,0,8,0,27,0,0,14,18,3,0,0,1,1,56,5,3,0,0,13,15,9,4,0,4,13,0,13,0,21,11,11,0,41,8,12,1,15,0,0,22,22,11,0,8,33,0,0,15,15,29,22,0,32,0,0,16,0,27,11,28,6,11,16,7,11,0,7,55,0,0,1,0,0,0,0,1,0,61,0,0,9,6,0,0,44,1,4,20,0,49,20,0,12,0,55
2014-01-01,31,4,4,7,3,26,13,13,33,25,4,2,0,0,1,76,10,2,0,0,28,23,10,3,0,2,15,0,6,0,31,15,0,24,63,39,28,0,17,0,0,36,21,21,21,40,16,32,0,0,0,14,14,1,36,0,0,24,5,31,26,33,15,12,17,3,14,0,3,63,1,0,3,0,8,8,0,1,0,70,0,9,40,15,0,1,59,3,2,10,0,29,48,10,10,0,71
2014-02-01,20,0,0,6,0,14,0,14,14,7,3,3,0,0,0,67,8,2,0,0,16,11,11,4,0,5,14,0,12,0,17,11,17,30,43,0,38,1,6,0,0,22,11,11,0,9,9,0,17,0,31,15,46,1,40,0,0,20,0,31,11,28,8,9,12,4,17,0,4,62,1,0,1,9,0,9,0,1,0,67,0,7,13,7,7,2,51,2,4,10,10,21,0,4,4,9,62
2014-03-01,11,0,3,0,0,0,0,0,20,0,0,5,0,0,0,60,2,2,0,0,11,5,7,3,0,2,4,0,10,0,0,0,0,0,51,0,8,0,3,0,0,10,0,0,10,23,47,8,0,14,0,42,14,0,40,0,0,29,0,26,8,30,9,6,6,3,10,0,0,63,1,0,1,8,0,8,8,0,0,80,0,12,12,6,0,1,43,0,4,0,9,19,9,4,4,4,53
2014-04-01,10,0,3,3,0,0,0,0,14,4,3,0,0,0,1,42,5,1,0,1,9,6,4,8,0,0,9,0,2,11,22,0,22,8,51,0,21,0,2,0,0,0,11,11,11,8,93,0,0,15,0,0,15,1,43,1,0,31,6,23,17,30,7,5,14,4,9,0,0,68,0,0,0,0,0,0,0,1,0,71,0,10,7,7,0,0,43,0,3,0,0,0,10,0,6,0,76
2014-05-01,7,0,0,6,0,0,0,0,15,6,3,3,0,0,0,33,2,1,0,1,5,6,16,0,0,0,14,0,5,0,0,0,12,18,22,0,9,0,1,0,0,0,35,0,12,53,18,0,0,0,0,16,32,0,46,0,0,6,0,12,12,16,2,5,2,0,0,0,0,56,0,0,1,0,0,0,0,0,0,68,0,7,0,7,0,0,45,0,2,0,0,0,11,4,0,4,71
