date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu symptoms,flu game,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu chicago,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,illinois flu,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2012-10-01,23,0,14,10,10,7,0,0,1,45,2,1,0,1,0,48,5,2,0,0,12,13,1,0,0,1,10,3,10,5,16,11,0,6,78,0,12,0,46,0,0,30,6,2,6,3,26,44,5,3,0,2,3,9,19,0,0,30,21,2,20,4,17,2,3,64,6,2,6,3,5,3,46,13,15,0,26,0,58,0,0,4,0,9,0,0,30,18,19,13,7,17,0,6,2,79
2012-11-01,17,9,13,0,0,12,0,1,1,26,2,3,0,0,0,51,4,2,0,0,13,14,1,0,0,2,15,4,9,5,29,0,10,10,63,6,36,0,21,0,0,12,4,9,5,0,14,40,11,2,3,1,7,17,26,17,9,14,25,3,10,4,32,2,2,21,3,3,9,0,18,0,58,4,25,4,8,0,64,0,0,3,4,13,4,3,34,24,22,9,13,13,3,4,2,63
2012-12-01,31,10,40,35,15,30,1,1,2,17,6,8,1,1,1,66,13,3,0,0,31,33,1,2,0,4,31,5,17,8,55,28,11,23,64,9,49,0,20,0,0,20,6,10,6,3,17,57,16,6,8,2,25,19,49,48,24,19,32,6,41,10,66,4,4,25,9,6,34,13,20,7,65,16,41,5,23,0,69,0,2,8,7,49,2,8,64,23,35,11,32,25,0,12,3,71
2013-01-01,68,14,9,28,32,42,1,1,1,69,2,6,3,1,1,73,24,4,0,1,61,76,1,2,0,9,63,6,19,8,81,15,10,35,96,14,67,1,55,0,1,99,15,2,13,3,15,73,19,16,7,4,38,31,36,44,18,41,46,2,82,16,82,14,18,71,15,4,45,15,60,6,100,29,74,17,13,1,82,1,3,7,6,64,2,9,92,15,71,22,61,64,13,11,9,99
2013-02-01,22,20,30,15,20,17,0,1,2,6,2,2,0,1,0,53,10,2,0,1,23,26,1,1,0,4,22,3,11,6,28,6,6,15,78,21,22,0,5,0,0,16,14,2,6,0,26,51,8,9,0,2,12,25,34,0,20,3,29,3,39,5,55,4,2,10,6,2,21,5,22,0,71,9,32,0,23,0,72,1,1,16,2,30,5,7,47,15,22,7,4,18,7,8,3,69
2013-03-01,15,9,18,0,9,12,0,1,1,3,3,5,0,0,0,51,7,1,0,0,16,16,2,1,0,3,19,4,6,10,33,8,5,14,62,8,27,0,3,0,0,16,4,7,4,0,7,55,4,4,2,1,7,13,35,13,0,7,22,2,40,4,37,6,1,6,7,3,12,0,9,3,67,4,17,13,6,0,72,0,1,5,4,18,0,5,43,12,20,6,10,25,6,2,3,75
2013-04-01,11,9,33,9,0,10,0,1,0,4,1,3,1,1,0,43,4,1,0,0,13,11,1,0,0,3,13,4,3,0,5,8,5,10,66,8,10,0,1,0,0,9,2,2,0,0,21,37,7,2,0,1,5,27,36,0,9,6,21,5,25,3,36,5,1,7,3,2,4,3,6,0,55,0,9,4,13,0,70,0,1,4,0,5,2,3,38,14,9,3,16,7,3,4,2,58
2013-05-01,6,0,0,0,0,5,0,0,0,3,3,3,0,0,0,35,2,1,0,0,5,5,1,0,0,1,3,2,3,0,5,5,0,8,56,0,19,0,1,0,0,8,0,0,0,0,11,46,0,3,0,0,2,9,19,0,9,0,12,0,14,1,18,1,1,6,2,5,2,3,6,0,47,4,4,0,9,0,66,0,0,7,0,3,0,0,6,6,6,3,7,3,0,2,2,46
2013-06-01,5,10,0,0,0,2,0,0,0,0,2,2,1,0,0,34,1,0,0,0,4,5,1,0,0,2,5,2,2,0,6,0,8,9,54,0,4,0,1,0,0,6,2,0,0,0,6,35,0,2,0,0,2,10,20,0,0,0,7,0,4,2,11,1,1,5,3,0,2,3,3,0,48,5,7,0,7,0,61,0,0,2,0,3,0,0,22,17,7,0,0,7,0,0,0,46
2013-07-01,6,0,20,10,0,3,0,0,0,1,2,2,0,0,0,29,1,0,0,0,4,4,0,0,0,1,4,1,1,0,6,0,16,4,56,0,4,0,2,0,0,10,0,4,0,0,11,40,3,0,2,0,2,10,20,10,0,0,4,0,8,2,19,1,3,4,2,0,5,3,0,3,44,5,7,0,9,0,65,0,0,5,2,7,0,0,17,8,7,0,7,7,0,0,2,45
2013-08-01,6,0,0,10,10,3,0,0,0,6,2,2,1,0,0,37,1,1,0,0,4,4,1,0,0,1,3,2,4,0,5,0,5,4,52,4,4,0,4,0,0,14,2,0,2,0,12,29,3,2,0,0,2,14,19,0,0,8,19,0,6,1,14,3,2,9,2,2,3,10,0,0,34,4,9,0,13,0,65,0,0,2,0,4,0,3,15,5,7,3,7,7,0,4,2,47
2013-09-01,15,0,10,10,10,5,0,0,1,29,1,1,1,0,0,38,2,1,0,0,10,8,1,0,0,0,7,1,6,0,14,0,16,8,53,4,13,1,25,0,0,20,0,4,6,0,28,50,0,0,2,0,3,10,10,10,0,18,26,0,14,3,11,1,4,56,2,0,3,3,7,0,68,18,5,0,9,0,56,0,0,3,2,4,0,3,13,12,18,3,14,10,0,2,6,80
2013-10-01,25,0,10,10,9,8,0,0,1,60,2,3,0,0,0,53,4,2,0,0,17,14,1,0,0,1,12,3,8,0,21,5,5,18,71,4,10,1,52,0,0,19,4,11,8,0,19,52,7,5,2,2,3,0,32,9,9,41,21,0,18,9,18,2,3,62,4,3,9,0,8,0,41,13,11,4,17,0,60,0,0,2,2,13,0,6,20,32,30,7,10,16,3,4,0,71
2013-11-01,18,10,10,10,10,9,0,1,0,31,1,2,0,0,0,56,3,2,0,0,15,14,2,1,0,1,12,1,12,0,30,0,11,15,50,4,17,1,24,0,0,35,6,4,2,0,14,25,3,5,2,2,7,9,28,9,9,23,19,0,18,5,33,3,3,35,4,5,5,5,10,6,70,7,9,9,4,0,64,0,1,7,2,7,0,7,34,20,18,7,14,20,0,5,4,70
