date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,swine flu symptoms,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,fever flu,stomach flu,how long does flu last,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,flu symptoms 2019,keto flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature
2012-10-01,24,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,15,0,53,53,52,53,0,17,0,0,53,0,53,0,18,0,0,0,0,0,28,0,0,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,8,8,0,0,34,0,0,0,18
2012-11-01,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,6,0,18,13,0,0,0,16,0,0,0,0,0,25,0,50,0,0,0,22,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,36,0,0,0,0,0,0,24,0,0,0,0,0,69,0,0,35,0,0,0,0,25,0,17,0,23,0,0,0,0,0,45
2012-12-01,16,0,0,0,0,0,83,0,0,0,0,0,0,40,0,0,0,0,18,15,0,16,0,33,0,0,0,0,0,51,0,25,0,6,0,10,0,0,0,0,0,0,0,17,0,0,0,0,0,48,19,0,0,0,0,0,0,0,31,0,0,0,50,0,0,0,37,24,0,0,0,0,0,36,36,0,35,0,0,0,50,43,0,9,9,0,0,0,0,0,0,0
2013-01-01,77,0,0,0,0,0,0,0,0,0,0,0,0,57,10,0,0,0,59,49,0,75,15,30,0,0,0,55,0,35,23,46,0,18,0,55,0,0,0,49,0,0,0,31,16,0,0,0,0,35,17,0,0,0,0,0,0,11,45,17,11,0,91,0,60,0,0,22,0,0,47,24,0,32,97,0,81,0,0,0,91,23,0,0,8,0,0,0,0,0,0,25
2013-02-01,28,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,5,35,20,0,32,0,32,0,0,0,0,0,100,0,49,0,0,0,6,0,53,0,53,0,0,17,34,0,0,0,53,0,37,0,0,18,0,56,28,0,12,18,12,12,0,0,0,0,0,0,0,0,0,0,25,0,34,0,0,0,0,0,0,0,33,0,17,0,0,23,0,0,0,0,54
2013-03-01,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,14,0,0,0,58,0,0,0,0,0,23,0,23,0,0,0,11,0,48,48,0,0,0,0,0,0,0,0,48,0,17,17,0,0,0,0,0,0,11,11,0,0,0,30,0,0,0,22,22,0,0,23,23,0,32,0,0,0,0,0,0,30,34,0,8,0,0,0,0,0,0,0,0
2013-04-01,17,0,0,100,0,0,0,0,0,0,0,0,0,15,5,0,10,0,14,13,0,0,0,0,0,0,0,0,0,22,0,45,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,17,0,0,0,0,11,22,0,0,0,58,0,0,0,43,0,0,0,0,23,0,0,0,0,31,0,0,0,58,8,0,0,7,0,0,0,0,0,0,32
2013-05-01,10,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,27,0,0,11,0,0,0,0,0,0,0,0,0,0,0,24,0,0,33,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,42
2013-06-01,9,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,26,0,26,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,25,0,12,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,24,0,0,0,0,18
2013-07-01,6,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,6,0,0,51,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0
