date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,flu treatments,cold vs flu,dog flu,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,1918 flu,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,what to do if you have the flu,flu report,signs of flu,flu in delaware,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2012-10-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,46,8,0,0,0,11,11,0,10,0,10,26,0,0,0,0,25,0,25,6,6,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0,0,14,0,14,0,0,0,0,0,0,26,0,0,0,0,26,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2012-11-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,57,8,0,0,3,10,10,0,11,0,0,0,0,0,28,0,26,26,26,0,0,0,19,0,33,0,0,0,0,0,31,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,32,0,0,0,27,41,0,0,0,28,0,0,0,0,0,0,0,0,53,0,0,0,33,0,0,72,0,0,0,39
2012-12-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,6,11,0,10,0,10,27,0,0,0,0,76,0,26,6,0,0,18,0,31,0,0,0,0,0,15,0,0,0,28,27,0,0,0,0,0,0,0,25,0,0,0,14,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,28,0,0,56,0,0,0,0,0,0,0,0,0,35,0,0,0,57
2013-01-01,63,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,7,0,0,59,47,0,43,10,24,100,0,0,25,0,47,23,0,0,6,0,89,0,0,0,86,0,0,14,14,0,26,0,0,0,0,0,25,29,0,0,0,23,68,23,69,46,26,26,0,58,0,0,43,36,36,24,0,0,0,49,24,51,0,0,38,0,0,95,0,0,0,0,0,0,32,0,0,0,35
2013-02-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,7,0,0,16,16,0,10,0,20,0,0,0,0,0,61,0,24,6,0,0,12,0,30,0,0,0,0,14,21,0,0,0,27,0,0,0,0,0,0,0,0,0,24,0,47,34,14,14,0,30,0,0,0,0,38,25,0,0,25,25,0,53,0,0,27,0,0,49,0,0,0,0,0,0,0,0,0,0,63
2013-03-01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,48,14,7,0,3,13,9,0,18,0,18,47,0,0,0,0,0,22,22,5,0,0,0,0,0,0,0,0,0,13,0,25,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,19,37,12,0,27,0,0,27,0,69,0,0,0,0,23,0,24,0,0,24,0,0,45,0,0,0,0,0,0,0,0,0,0,17
2013-04-01,6,0,0,39,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,8,7,0,19,0,0,0,0,0,0,0,0,0,47,6,0,0,6,0,29,0,0,0,0,27,0,0,0,0,26,0,0,0,0,29,0,0,0,0,23,0,46,26,0,0,0,29,0,0,0,0,24,0,0,0,0,0,0,0,0,0,26,0,0,48,0,0,0,0,0,0,0,0,0,0,26
2013-05-01,3,0,0,51,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,28,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,51
2013-06-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2013-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
2013-08-01,3,0,0,57,0,0,0,0,0,0,0,0,0,0,54,0,0,0,3,6,3,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,27,0,0,0,0,0,25,0,0,0,0,0,0,14,0,0,0,0,26,26,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
