date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,oscillococcinum,bronchitis,contagious flu,flu fever,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,reduce fever,influenza symptoms,how long contagious,i have the flu,fever flu,swine flu,how long does the flu last,cold vs flu,thermoscan,flu treatment,the flu virus,how long does flu last,human temperature,is flu contagious,cold or flu,flu symptoms,spanish flu,body temperature,fever reducer,flu cough,how long flu,fever cough,ear thermometer
2015-10-01,34,46,41,18,0,27,41,46,0,53,0,63,0,0,32,0,46,0,54,0,39,30,0,0,0,23,53,0,0,0,33,63,0,0,0,100,0,0,0,0,47,0,21,31,0,0,0,46,23,100
2015-11-01,20,0,17,19,0,57,20,24,52,42,53,0,0,53,34,0,0,48,0,0,0,32,25,0,0,48,37,0,0,70,0,0,0,0,0,0,0,0,0,0,100,60,31,32,0,0,0,24,0,0
2015-12-01,25,24,26,26,0,56,15,48,0,41,26,0,34,26,50,34,47,0,0,0,0,41,0,0,0,24,0,0,0,80,0,0,0,55,0,0,0,41,47,0,0,0,26,0,12,0,45,48,0,0
2016-01-01,29,22,24,35,0,26,11,22,0,51,24,0,62,24,31,62,0,0,0,55,38,41,0,0,0,22,0,0,0,64,0,0,0,0,49,0,0,0,0,0,92,55,16,30,23,43,42,22,0,0
2016-02-01,19,0,17,33,0,0,8,23,0,47,0,85,65,0,0,65,46,0,0,0,0,45,0,54,0,23,35,81,40,0,33,85,16,0,52,0,0,40,0,32,0,0,17,0,0,0,0,23,23,51
2016-03-01,28,0,15,20,0,50,0,32,0,92,23,39,30,23,60,30,0,0,0,0,0,50,0,49,0,42,0,74,0,20,0,39,0,98,48,0,0,0,42,0,0,52,12,0,22,0,0,32,21,47
2016-04-01,30,88,31,14,0,0,7,22,0,31,24,0,0,24,61,0,0,0,0,54,0,31,23,100,0,32,0,0,38,42,31,0,15,0,48,0,42,0,0,0,0,0,16,0,11,0,41,22,0,0
2016-05-01,14,22,16,21,0,39,7,45,0,45,0,0,0,0,31,0,0,44,0,0,0,15,23,52,0,33,0,0,39,0,0,0,0,51,0,0,42,0,0,0,0,0,20,0,0,0,0,45,22,0
2016-06-01,8,0,16,18,0,0,7,0,0,33,0,41,0,0,63,0,0,0,0,0,0,27,24,0,0,23,0,0,0,0,0,41,0,0,0,0,0,0,44,0,0,0,8,0,0,0,0,0,0,0
2016-07-01,11,0,23,21,0,77,0,44,0,38,0,0,31,0,0,31,0,0,52,0,0,14,0,0,0,22,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,44,0,48
2016-08-01,10,0,16,7,26,25,0,22,0,43,0,0,30,0,30,30,0,0,0,0,0,28,0,0,0,21,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,53,20,0,22,0,0,22,0,0
2016-09-01,38,22,31,27,0,50,28,43,0,49,0,78,60,0,60,60,0,0,0,0,0,37,23,50,0,21,33,0,0,20,0,78,0,99,0,0,0,37,0,0,0,0,20,0,45,0,0,43,0,0
2016-10-01,36,22,16,34,26,0,60,54,0,50,24,0,0,24,30,0,43,0,51,0,0,46,0,100,0,0,33,0,0,21,0,0,0,50,0,94,0,0,42,30,0,0,32,0,23,42,41,54,0,48
2016-11-01,36,22,39,28,0,0,14,44,0,63,24,40,30,24,0,30,43,43,0,0,0,46,0,0,0,0,33,0,0,21,0,40,0,0,0,0,41,0,0,0,45,54,24,29,34,42,0,44,43,0
2016-12-01,35,0,100,17,0,51,14,22,0,62,0,39,30,0,60,30,43,0,0,0,0,48,22,0,0,43,0,0,37,21,0,39,0,49,96,0,0,0,42,0,0,0,16,0,11,0,0,22,0,0
2017-01-01,39,42,60,33,0,100,21,42,0,48,23,78,0,23,59,0,42,41,0,0,0,30,0,96,0,42,32,0,37,71,0,78,0,0,0,0,0,0,0,0,43,0,27,0,11,0,40,42,21,46
2017-02-01,34,0,64,53,27,53,11,34,0,71,24,41,31,24,94,31,44,0,0,0,77,59,23,52,0,0,34,0,39,21,32,41,0,0,0,97,0,0,0,31,0,0,29,30,23,0,84,34,44,0
2017-03-01,30,20,71,34,0,70,0,40,0,40,43,72,42,43,28,42,39,0,0,0,0,47,31,45,0,20,0,0,69,38,29,72,0,45,0,0,0,34,0,28,0,0,11,0,0,0,0,40,39,0
2017-04-01,27,42,38,13,25,50,0,42,0,61,45,38,29,45,29,29,0,0,0,0,36,44,22,97,0,21,0,0,0,50,0,38,0,0,0,0,0,36,41,0,0,0,8,0,11,0,0,42,0,0
2017-05-01,20,22,39,27,26,0,14,22,0,44,0,0,0,0,30,0,44,0,0,0,0,29,23,0,0,44,0,76,0,42,0,0,15,0,0,0,0,0,0,0,0,0,8,29,57,0,0,22,0,0
