date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,flu iowa,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,flu symptoms 2018,human temperature,high fever,medicine for flu,flu treatments,cold vs flu,influenza type a,influenza symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,flu in iowa,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,treatment for flu,cdc flu,taking temperature,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu shot side effects,flu complications,signs of the flu,treat flu,body temperature
2013-04-01,12,0,2,7,0,0,5,0,0,8,8,0,0,0,0,0,0,11,14,0,0,15,7,0,0,0,17,7,0,0,4,8,0,8,0,17,8,0,0,3,0,0,0,0,0,0,0,9,12,0,0,0,0,5,3,0,2,0,0,23,23,0,5,27,0,1,3,1,1,0,0,11,0,0,29,12,0,0,13,13,0,0,0,12,0,0,0,60,0,19,0,19,0,0,0,0,14,63
2013-05-01,7,0,0,7,0,0,3,0,0,0,0,8,8,0,0,0,47,6,9,6,0,6,6,0,0,7,7,0,7,0,0,0,0,9,9,22,0,0,0,2,0,0,0,28,0,0,0,5,5,0,0,0,27,3,0,0,0,24,0,0,48,0,10,33,0,1,0,0,0,0,0,0,12,0,36,0,0,0,13,27,0,12,0,0,12,8,0,26,0,0,0,0,0,0,0,0,0,47
2013-06-01,4,0,0,3,0,0,2,0,0,9,9,0,0,0,0,0,56,0,7,7,0,5,6,0,0,0,0,0,9,0,0,10,0,0,0,31,0,2,0,2,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,6,0,0,0,0,0,6,24,0,0,0,2,0,0,0,0,0,0,14,0,0,0,16,16,0,0,0,0,15,0,0,7,0,46,0,0,0,0,0,0,0,22
2013-07-01,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,6,0,4,4,0,0,0,15,8,8,0,0,13,0,18,0,18,0,0,0,5,0,0,30,0,0,0,0,5,5,0,0,28,0,0,3,0,3,0,0,25,25,0,5,13,0,0,0,0,0,0,0,0,12,0,44,0,0,0,14,14,0,13,0,0,13,4,0,19,0,0,0,0,0,0,0,0,0,34
2013-08-01,6,0,0,2,0,0,1,0,0,6,6,0,0,0,0,0,18,4,7,9,0,5,6,1,0,0,11,0,11,0,0,3,0,10,0,20,0,0,0,2,0,0,0,21,0,0,0,4,9,0,0,0,0,0,2,0,4,0,0,0,18,4,7,8,7,0,2,4,0,0,0,0,0,0,18,9,0,0,0,20,10,14,0,9,0,0,0,22,0,0,0,14,0,0,0,11,0,28
2013-09-01,15,0,0,2,2,0,6,0,0,20,24,8,16,0,0,0,24,15,6,6,0,12,7,1,0,7,7,0,7,0,8,11,0,22,0,30,0,2,0,20,0,0,29,29,0,0,0,5,5,0,0,28,0,0,0,0,3,0,0,0,24,0,5,18,5,1,1,6,0,12,0,0,24,0,61,0,0,0,14,14,0,13,0,25,0,4,0,38,0,20,0,0,0,0,0,0,0,43
2013-10-01,24,0,2,2,0,0,6,1,0,7,61,7,7,0,0,0,0,15,5,10,0,20,9,0,0,0,18,0,12,0,0,27,0,15,15,22,0,1,1,64,0,0,0,0,48,0,0,12,8,0,0,0,0,3,0,0,2,0,0,0,40,4,4,19,4,2,1,10,0,0,0,0,0,0,36,0,0,0,11,11,0,16,0,10,0,10,0,69,0,16,0,0,16,31,0,0,0,59
2013-11-01,19,0,0,2,0,0,6,0,0,8,16,0,8,0,0,0,23,12,6,12,0,14,11,1,0,0,21,0,14,0,4,20,0,17,8,13,0,2,0,21,0,0,0,0,27,0,0,9,7,0,0,0,0,3,0,3,5,0,0,0,23,5,5,37,5,4,1,6,1,0,0,0,23,0,29,0,0,0,13,13,13,36,0,12,0,12,0,47,0,19,0,0,38,0,0,29,0,32
2013-12-01,24,0,0,2,2,0,6,0,0,6,6,6,12,52,17,0,26,30,9,9,0,21,18,1,0,11,26,0,11,0,0,9,6,47,19,28,0,4,1,14,0,0,0,41,21,0,0,4,25,30,0,0,20,7,3,2,6,18,17,0,35,11,5,72,11,12,2,2,2,0,8,8,17,0,39,9,0,0,0,15,10,23,0,14,0,12,0,60,3,14,0,14,14,27,0,0,11,44
2014-01-01,37,0,2,3,0,0,21,1,0,9,15,6,6,17,17,0,17,36,13,11,0,38,28,2,0,5,24,0,13,0,3,24,0,25,6,32,0,2,0,20,0,0,41,20,0,0,0,4,14,20,0,40,30,21,0,2,2,17,52,0,35,11,9,57,11,21,6,7,2,25,0,8,25,0,39,26,0,0,10,24,10,9,9,32,9,6,0,80,9,28,0,42,42,22,0,22,0,55
2014-02-01,18,0,0,4,2,0,9,1,0,6,6,6,6,18,0,0,0,37,23,7,0,16,13,2,0,6,20,0,8,0,3,6,0,27,13,10,0,1,1,5,0,0,22,22,22,0,0,11,7,42,0,21,21,5,2,0,0,19,0,18,18,10,10,23,12,9,2,3,2,9,0,0,0,0,42,19,0,0,16,26,0,24,0,10,10,3,0,64,3,15,0,0,0,0,0,0,0,51
