date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,flu utah,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,food poisoning,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,flu in utah,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2012-10-01,23,0,0,47,0,2,0,0,0,63,7,0,0,0,0,0,16,0,17,0,0,19,0,0,4,23,8,8,0,16,8,0,23,4,0,6,23,2,40,0,0,0,68,0,0,22,72,0,0,0,0,11,0,33,0,0,0,17,0,42,17,31,4,19,4,14,0,14,0,0,0,60,0,0,0,30,30,0,61,0,20,0,0,0,0,0,12,25,0,0,0,0,0,11,11,49
2012-11-01,22,0,0,0,0,16,0,2,0,36,0,7,0,0,0,0,56,0,34,0,17,8,2,0,4,16,0,12,0,8,0,8,32,11,4,9,19,0,19,0,0,0,0,0,0,30,37,29,15,0,0,0,17,34,34,0,0,17,0,17,0,34,8,44,4,29,15,22,0,0,0,30,15,23,0,16,16,42,21,0,21,12,0,12,0,13,13,19,0,20,19,20,0,0,0,44
2012-12-01,34,0,0,99,0,26,0,0,2,26,0,7,0,0,0,5,55,70,88,0,0,30,2,0,10,16,0,41,0,0,8,0,25,9,4,9,15,4,14,0,0,0,0,36,36,15,53,30,15,0,12,0,24,0,35,35,0,0,18,36,18,49,4,43,4,0,15,45,0,31,0,39,0,24,0,0,32,21,53,0,0,0,0,51,0,0,13,13,13,0,0,20,20,11,0,34
2013-01-01,73,44,67,67,0,34,4,0,0,52,7,10,0,0,0,6,69,47,47,0,0,86,0,0,13,40,11,29,0,0,0,0,66,8,4,12,100,2,44,0,0,32,48,32,32,27,61,0,14,11,11,0,32,47,0,31,31,56,16,80,32,52,9,38,7,40,0,68,0,28,0,70,35,50,0,29,86,48,67,0,48,23,0,46,11,0,59,100,12,45,18,36,0,41,10,72
2013-02-01,28,0,0,0,0,18,0,0,0,21,7,7,0,0,0,5,32,34,17,0,0,31,0,0,16,39,0,16,0,0,0,0,16,10,4,8,21,2,9,0,0,34,0,35,0,29,29,15,0,11,0,0,17,34,34,0,0,34,0,17,17,21,7,28,11,22,0,29,0,0,0,52,15,15,0,15,15,21,72,0,21,0,0,24,0,0,25,13,19,20,19,0,19,11,0,82
2013-03-01,18,0,44,44,0,15,0,0,0,0,0,6,0,0,0,0,45,15,0,0,0,11,0,0,2,11,0,7,7,0,0,0,29,14,4,4,17,2,4,0,0,0,32,0,32,13,20,13,0,0,0,0,21,31,0,0,0,24,0,16,32,26,3,43,0,13,0,20,13,14,0,28,0,0,14,42,21,0,38,0,28,0,0,11,0,12,29,12,12,0,36,0,0,0,0,66
2013-04-01,14,0,0,0,0,10,2,2,0,0,6,13,0,0,0,0,45,31,0,0,0,7,2,0,5,7,7,0,0,0,0,0,28,11,0,4,15,0,5,0,0,63,0,0,0,13,54,0,0,20,0,0,21,0,31,0,0,16,0,32,16,39,0,33,0,39,0,13,0,14,0,21,14,0,0,0,21,0,28,0,19,0,0,11,0,11,40,0,11,18,17,44,0,10,10,35
2013-05-01,10,0,45,45,0,6,0,0,0,7,7,0,0,0,0,0,28,0,0,0,0,6,0,0,4,15,0,0,0,7,0,0,7,4,0,0,8,0,0,0,0,0,0,0,0,14,27,14,14,0,0,0,0,0,0,0,0,48,0,0,0,21,4,32,0,0,0,0,0,0,0,0,0,14,0,0,0,0,39,0,19,0,0,0,0,0,24,24,0,0,36,27,0,10,0,67
2013-06-01,12,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,12,35,17,0,0,6,2,0,4,8,8,8,0,0,0,0,24,15,0,0,0,0,4,0,0,36,72,0,36,15,30,0,0,12,0,0,0,35,0,0,0,18,0,36,18,25,0,52,4,30,0,15,0,16,0,31,0,0,0,32,16,0,0,0,0,13,0,13,0,0,13,0,13,0,0,20,0,0,0,74
2013-07-01,6,37,0,37,0,7,0,0,0,0,0,0,0,0,0,2,25,13,0,0,0,8,0,0,2,6,6,12,0,0,0,0,18,11,3,0,7,0,2,0,0,0,0,27,0,0,11,0,11,0,0,0,0,26,27,0,0,26,0,13,0,23,3,26,0,0,0,11,0,0,0,29,0,0,0,24,24,0,16,0,0,0,0,9,0,0,10,10,0,0,30,0,0,8,0,47
2013-08-01,8,0,0,0,0,7,0,0,1,7,0,0,0,0,0,1,23,0,21,0,11,2,2,0,0,10,5,7,10,5,0,0,35,7,0,3,7,0,3,0,0,0,0,22,21,9,14,9,9,0,0,0,0,0,21,0,0,11,11,16,11,14,0,34,2,9,0,0,0,10,0,28,10,10,0,14,14,0,26,0,25,0,0,0,0,0,0,8,8,12,12,0,0,0,7,48
2013-09-01,21,0,0,0,0,6,0,0,1,39,0,4,0,0,0,1,40,10,10,0,0,15,0,0,2,5,0,7,0,0,0,0,34,7,0,5,17,1,24,0,0,0,0,0,21,9,18,9,0,0,7,0,0,0,0,21,0,21,0,16,0,10,2,28,2,9,0,9,9,9,0,33,0,10,0,0,24,13,0,13,0,0,0,8,0,0,16,16,16,0,0,12,0,7,7,48
