date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,indiana flu,high fever,flu in indiana,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,cold symptoms,thermoscan,normal body temperature,how to treat the flu,flu virus,cold,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2012-09-01,11,0,0,0,0,9,0,1,0,10,0,0,0,0,0,0,46,36,18,0,0,2,0,0,0,5,0,9,0,8,8,0,19,34,0,41,0,30,0,0,2,0,0,0,10,25,13,0,0,0,0,8,8,7,0,0,43,0,19,0,10,39,0,1,0,51,6,0,6,0,6,0,14,0,0,0,0,6,0,0,0,16,0,8,0,21,32,32,16,0,0,0,0,0,0,41
2012-10-01,16,0,0,0,0,7,0,1,0,14,1,0,0,0,0,1,52,8,16,0,0,5,0,0,1,5,3,5,0,7,0,0,37,18,0,0,0,48,1,0,0,0,3,0,10,31,9,0,0,7,0,7,14,0,0,6,19,0,9,0,17,39,0,1,0,43,0,0,16,0,10,0,15,13,0,13,0,12,0,0,6,7,0,21,0,0,19,19,19,11,16,0,0,5,5,36
2012-11-01,14,0,0,0,32,9,1,0,0,6,0,4,0,0,1,0,46,24,0,0,0,9,0,0,4,13,6,10,0,0,7,7,37,37,0,12,12,24,0,1,3,0,0,0,8,29,6,0,0,0,0,0,0,0,0,0,48,0,9,0,0,43,0,2,0,29,16,0,11,0,5,0,10,0,13,0,0,23,0,0,0,7,7,14,7,0,24,24,19,0,22,16,11,0,0,67
2012-12-01,27,33,0,33,33,29,1,0,2,11,2,2,0,2,1,0,54,42,50,0,0,29,0,0,5,34,0,12,0,7,10,7,59,38,25,25,56,23,0,0,3,3,5,0,18,32,18,18,0,7,0,35,18,10,7,7,56,9,9,0,27,51,1,4,0,30,6,0,33,0,11,0,47,20,13,67,0,18,0,0,18,7,0,43,0,0,25,15,25,17,45,17,0,5,11,54
2013-01-01,60,30,30,45,0,41,1,1,2,23,1,1,0,1,1,0,70,30,15,0,0,55,1,0,12,54,0,14,0,28,6,6,60,85,17,40,28,63,2,0,4,4,2,0,76,24,82,16,0,22,13,22,29,18,6,21,81,0,24,0,97,57,1,4,1,100,15,5,35,7,19,5,62,30,12,79,12,38,0,11,49,13,13,45,0,9,18,36,53,25,41,46,10,5,5,82
2013-02-01,22,31,0,0,0,21,1,0,2,1,2,1,0,1,0,0,59,24,8,0,0,19,0,0,4,16,0,6,0,13,0,7,40,42,12,59,24,5,1,0,0,3,6,0,8,30,6,0,0,7,0,20,10,6,0,6,62,0,34,0,25,44,0,3,1,13,8,0,10,5,7,0,32,13,25,38,0,6,0,0,51,14,7,14,0,0,33,14,37,11,16,27,11,5,5,51
2013-03-01,15,0,0,0,27,15,0,0,1,1,2,1,0,0,0,0,55,28,28,0,0,18,1,0,4,30,0,13,0,0,0,0,29,74,0,32,11,3,1,0,2,0,2,0,11,37,12,5,0,18,6,6,12,11,0,17,53,8,15,0,23,46,0,3,0,9,9,5,19,4,4,4,22,11,11,28,0,15,5,10,25,9,6,24,6,16,25,25,49,9,9,14,9,0,5,68
2013-04-01,11,27,0,0,0,10,0,0,1,0,1,1,0,0,1,0,52,34,7,0,7,7,0,0,5,10,3,4,0,12,0,6,23,72,0,31,0,2,0,0,0,0,2,0,3,15,0,0,0,6,0,6,9,0,5,5,30,0,7,0,30,42,0,2,1,5,5,5,0,0,7,0,17,11,11,11,0,5,0,0,15,12,0,0,0,8,28,12,12,9,14,14,0,0,0,40
2013-05-01,6,27,0,0,0,4,0,0,0,1,0,0,0,0,0,0,38,27,0,0,7,4,0,0,2,11,0,3,0,6,0,0,26,36,0,0,0,1,0,0,1,0,0,0,2,24,0,0,5,0,0,6,0,5,11,0,27,15,0,7,22,41,0,1,0,9,0,0,0,0,0,0,0,0,11,11,0,5,0,0,0,0,0,0,0,0,8,8,8,0,9,0,0,4,0,35
2013-06-01,4,0,32,0,0,2,0,0,1,0,1,0,0,0,0,1,27,32,0,0,0,4,0,0,1,5,3,3,0,0,0,7,20,61,0,12,0,4,0,0,0,0,3,0,8,9,11,0,0,7,0,7,0,0,0,6,13,0,9,0,18,33,0,1,0,14,0,0,5,5,5,0,0,13,0,0,0,6,0,0,0,0,0,7,0,10,14,29,0,11,0,11,0,0,0,26
