date,flu,symptoms of flu,stomach flu,the flu,bird flu,high fever,flu shot,flu how long,braun thermoscan,symptoms of bronchitis,oscillococcinum,bronchitis,contagious flu,flu fever,influenza,influenza incubation period,stomach flu symptoms,cold and flu,flu contagious,normal body,flu and cold,flu medicine,how long is the flu,dog flu,cure flu,flu vs cold,taking temperature,pneumonia,normal body temperature,symptoms of the flu,flu symptoms 2018,low body,flu shot side effects,influenza symptoms,how long contagious,is the flu contagious,i have the flu,fever flu,how long does the flu last,cold vs flu,cure the flu,signs of flu,flu care,flu children,influenza a and b,thermoscan,flu treatment,influenza a,cdc flu map,the flu virus,how long does flu last,human temperature,is flu contagious,flu symptoms,flu symptoms in kids,flu symptoms 2019,dangerous fever,body temperature,flu cough,keto flu,how long flu,fever cough,ear thermometer
2015-01-01,73,100,37,67,0,24,13,100,0,44,37,54,0,49,83,94,0,40,0,38,40,0,57,0,0,48,0,53,0,85,0,22,17,100,71,0,0,49,0,48,0,42,0,43,100,0,0,86,0,47,38,0,50,50,0,0,0,40,41,0,100,26,85
2015-02-01,33,52,45,35,0,25,0,39,88,0,39,51,0,51,31,0,0,31,0,40,31,0,0,12,67,0,46,69,72,44,0,23,0,20,32,0,0,51,66,0,0,44,0,46,0,64,0,27,0,49,60,0,0,45,0,0,0,28,0,0,39,27,89
2015-03-01,20,26,26,19,0,0,0,39,0,0,0,63,31,0,24,0,0,62,31,20,62,0,0,0,0,0,0,76,36,44,0,45,0,15,42,0,65,0,0,0,0,0,0,0,35,0,0,18,0,0,40,0,0,23,0,0,0,21,0,0,39,54,0
2015-04-01,40,28,48,10,100,0,10,0,47,0,0,67,33,0,16,0,0,22,33,86,22,0,0,100,0,0,0,85,78,0,0,24,0,5,45,0,70,0,70,0,0,0,0,0,0,69,28,4,0,0,43,39,0,24,0,0,0,52,0,0,0,29,0
2015-05-01,21,30,0,14,61,0,0,0,50,0,0,72,0,0,5,0,0,0,0,0,0,0,0,20,0,0,0,35,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,7,0,0,0,0,0,9,0,0,0,16,0,0,0,0,50
2015-06-01,24,0,0,12,34,32,0,34,0,0,0,29,0,0,5,0,0,27,0,0,27,0,0,22,0,0,0,31,0,0,0,29,0,7,81,0,0,0,0,0,0,57,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,18,0,0,34,35,0
2015-07-01,4,32,24,12,24,61,0,32,0,0,0,14,0,62,5,0,0,25,0,25,25,0,0,14,0,0,0,38,0,0,0,28,0,6,52,0,0,62,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
2015-08-01,13,0,15,11,15,28,5,30,0,52,0,19,0,0,2,0,0,47,0,23,47,0,0,0,0,0,0,43,41,51,0,78,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,46,0,0,13,0,0,0,32,0,0,30,0,0
2015-09-01,17,0,13,13,0,0,33,0,0,94,0,53,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,46,38,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,22,0,0,0,0,0
2015-10-01,53,26,31,31,0,0,82,26,0,0,0,11,30,50,7,0,0,20,30,20,20,0,0,11,0,0,0,47,0,0,0,22,26,5,41,0,0,50,64,0,0,43,43,0,34,0,0,6,0,0,0,0,0,7,0,0,0,20,0,0,26,26,0
