date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu in idaho,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,dog flu,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,keto flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,flu medicine,flu remedies,flu shot side effects,flu complications,treat flu,how to get rid of the flu,body temperature,h1n1 flu
2012-10-01,21,0,0,15,0,0,11,0,0,0,0,32,0,0,0,0,46,0,25,0,0,17,0,0,9,12,0,18,0,0,0,0,0,0,0,23,0,28,0,0,0,12,0,0,0,24,24,24,0,0,0,0,0,0,59,0,0,0,0,0,0,7,26,20,0,0,27,0,0,0,0,17,0,0,0,20,0,39,0,0,0,0,0,0,0,0,51,26,0,0,28,41,0,7,0,20,0
2012-11-01,16,0,0,0,0,0,18,0,4,33,0,0,0,0,0,9,33,0,25,0,0,32,0,0,4,0,0,12,0,0,0,0,0,67,23,22,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,26,0,0,0,0,19,0,0,19,0,20,0,0,0,0,0,0,0,33,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,26,51,0,28,28,0,0,0,0,14,0
2012-12-01,23,0,0,0,0,0,20,0,0,33,33,0,0,0,0,4,49,0,25,0,0,28,4,0,4,12,0,12,0,15,0,0,77,23,0,0,0,16,0,0,0,0,0,0,0,24,0,0,0,0,0,0,52,59,0,0,0,0,0,0,0,0,20,13,7,0,0,0,0,0,0,0,0,0,0,20,0,20,20,0,30,0,0,0,0,0,0,52,0,0,28,28,0,7,0,20,0
2013-01-01,66,0,0,0,0,0,51,0,0,75,30,30,0,0,0,16,49,23,23,0,0,75,0,0,28,39,22,23,0,14,0,0,14,52,0,62,0,58,0,0,4,11,11,0,0,22,0,0,0,24,0,0,60,0,0,55,0,0,0,35,35,6,34,21,6,0,25,0,50,0,15,0,0,0,0,0,0,27,100,18,37,0,0,0,0,0,24,24,24,26,26,26,0,6,0,22,0
2013-02-01,29,0,14,0,0,0,28,0,0,32,0,32,0,0,0,4,52,49,0,0,0,36,0,0,13,18,0,0,0,45,0,0,45,33,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,57,0,0,0,19,0,19,19,7,10,7,6,0,0,0,0,0,16,17,0,0,0,20,0,19,0,0,19,0,0,0,0,0,100,0,0,55,27,0,0,7,0,27,7
2013-03-01,12,0,14,0,0,0,14,0,0,30,0,30,0,0,0,4,41,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,28,31,0,42,0,4,0,0,0,0,22,0,0,0,0,0,0,0,24,0,24,0,0,0,0,0,0,18,0,0,25,0,12,0,25,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,26,0,0,0,0,0,28,0
2013-04-01,13,0,0,41,0,0,4,0,0,30,30,0,0,0,0,4,43,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,84,21,0,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,18,0,0,18,6,16,6,9,0,25,0,0,0,23,0,0,0,0,0,0,18,0,0,0,0,0,25,0,0,24,36,0,26,0,0,0,6,0,22,0
2013-05-01,10,0,0,14,0,0,4,0,0,0,0,31,0,0,0,0,15,0,24,0,0,6,0,0,4,0,0,12,0,0,0,0,15,43,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,18,0,22,0,6,0,52,0,0,0,16,0,0,0,0,19,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6
2013-06-01,9,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,32,0,0,0,0,11,4,0,9,0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,35,0,14,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,29,0,0,0,0,0,14,0
2013-07-01,10,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,28,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,13,0,0,0,0,11,0,0,70,23,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,19,0,0,0,0,0,26,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,16,0
2013-08-01,9,0,0,0,0,0,4,0,0,32,0,0,0,0,0,0,13,24,0,0,0,8,0,0,4,12,0,0,0,0,0,0,0,22,0,22,0,4,0,0,4,0,0,0,0,23,0,0,0,0,0,0,0,0,57,0,0,0,0,18,0,6,16,0,6,0,0,0,0,0,32,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,16,0
2013-09-01,15,0,0,0,0,0,4,0,0,60,0,0,0,0,0,0,22,0,23,0,0,10,0,0,6,17,11,11,0,0,0,0,14,41,0,0,21,17,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,21,0,6,0,25,0,0,0,15,0,0,0,0,0,0,27,0,0,18,0,0,0,0,0,23,0,0,0,0,0,0,0,0,22,6
2013-10-01,28,0,0,13,0,0,15,0,0,0,0,28,0,0,0,4,47,0,21,0,0,16,0,0,4,0,0,10,0,0,0,0,13,19,0,0,0,59,0,0,4,0,10,0,0,0,0,0,0,0,0,0,44,0,75,0,0,16,0,16,0,6,31,6,6,0,23,0,0,0,43,0,0,0,0,17,0,17,17,0,50,0,0,23,0,0,22,0,0,24,24,24,0,0,0,12,0
2013-11-01,22,0,0,13,0,0,17,0,0,0,86,0,0,0,0,0,33,0,0,0,0,15,4,0,8,11,0,0,0,27,0,0,40,0,0,20,20,26,0,0,0,0,0,0,0,0,21,0,0,0,0,0,23,0,0,0,0,17,0,0,50,0,50,6,6,0,59,0,0,0,44,0,0,0,0,18,0,0,0,0,34,0,0,95,0,0,23,0,0,0,0,24,0,0,0,15,0
2013-12-01,21,0,0,12,0,0,26,4,0,0,0,27,0,0,0,4,64,42,21,0,0,33,0,0,7,10,10,10,0,0,0,0,38,38,0,0,19,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,44,0,50,0,0,16,0,0,0,6,31,6,11,0,45,0,0,0,28,14,0,0,0,51,0,17,0,0,0,0,0,0,0,0,22,22,0,24,23,0,0,6,0,9,11
