date,flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,flu treatment,man flu,is the flu contagious,flu shot,flu vs cold,flu symptoms 2018,human temperature,high fever,cold vs flu,dog flu,influenza symptoms,the flu virus,side effects of flu shot,influenza incubation period,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,influenza a,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,taking temperature,keto flu,flu contagious,bronchitis,flu symptoms 2017,symptoms of bronchitis,oscillococcinum,flu medicine,flu shot side effects,body temperature
2016-06-01,6,0,7,0,0,0,0,15,7,0,0,28,0,0,0,31,0,23,0,0,31,5,0,0,0,22,0,0,0,0,0,74,0,0,0,0,0,19,0,0,0,0,29,0,41,0,28,0,0,0,0,0,22,0,0,0,56,0,14
2016-07-01,6,0,29,0,0,0,0,6,14,0,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,42,9,0,0,0,0,0,0,40,0,0,42,0,0,0,0,34,0,0,0,0,0,14
2016-08-01,12,0,33,0,0,16,0,14,14,0,0,0,0,0,0,20,0,45,0,0,30,0,0,0,0,22,0,0,0,41,0,0,0,0,43,0,42,9,0,0,0,0,0,0,26,0,0,42,0,0,0,0,21,0,0,0,0,0,14
2016-09-01,21,0,62,30,30,14,0,18,10,0,22,0,0,0,0,0,0,41,0,0,0,22,0,0,41,20,0,25,10,0,0,0,0,26,79,0,0,8,66,5,0,0,0,0,30,0,0,0,0,0,0,0,50,0,0,0,0,0,25
2016-10-01,52,0,52,28,44,14,0,40,19,0,29,0,16,0,14,45,0,20,0,0,0,60,28,0,40,19,28,0,10,0,51,0,0,0,0,0,37,12,0,0,24,54,25,0,12,0,0,37,28,0,0,21,61,0,0,28,49,0,0
2016-11-01,33,0,68,0,0,0,0,22,12,0,29,0,46,0,0,36,22,20,25,0,27,23,0,0,59,19,0,0,9,0,51,0,0,0,37,0,0,39,0,9,0,0,25,22,29,26,24,0,27,40,0,0,48,0,0,0,0,100,41
2016-12-01,22,0,44,0,0,40,0,24,24,0,14,0,15,39,40,26,0,38,0,0,0,12,0,0,95,0,0,23,19,0,0,0,0,24,36,0,36,30,0,5,0,0,24,0,22,25,0,36,0,38,0,20,36,0,22,0,0,0,58
2017-01-01,41,48,76,14,41,13,0,49,23,0,40,22,30,0,0,25,0,0,0,0,50,10,53,0,37,36,53,22,28,0,48,0,0,0,0,0,35,52,0,41,0,0,0,0,11,25,0,35,26,38,0,0,39,0,22,0,90,0,34
2017-02-01,42,100,60,14,29,28,0,50,31,0,14,0,0,0,0,27,0,20,37,0,0,11,28,0,39,19,28,0,97,0,0,0,0,25,38,0,75,32,63,77,0,0,25,0,23,0,0,75,0,0,28,0,79,0,23,28,47,0,18
2017-03-01,22,0,53,13,26,12,42,15,11,0,13,0,0,0,12,48,20,44,0,0,0,4,25,0,0,17,25,0,47,0,0,0,0,44,0,0,0,7,0,34,0,0,0,0,26,0,21,0,0,0,0,0,100,45,0,25,42,0,32
2017-04-01,20,48,80,0,28,13,0,17,9,0,27,0,23,0,13,17,0,19,0,0,0,8,27,0,0,0,27,0,33,34,0,0,0,36,0,0,54,23,0,23,0,26,72,0,22,0,0,54,0,0,27,0,36,48,0,27,46,0,69
2017-05-01,10,0,38,14,0,14,0,8,6,0,14,0,0,0,14,18,0,30,0,0,0,0,0,0,0,19,0,0,20,0,0,0,0,0,0,0,0,12,0,5,0,0,26,0,12,27,0,0,0,0,28,21,38,0,47,0,0,0,36
2017-06-01,15,0,38,16,0,0,0,14,7,0,16,0,0,0,0,39,0,32,0,52,0,0,0,0,0,21,0,0,0,0,0,0,0,0,41,0,0,17,0,0,0,0,0,0,13,0,0,0,0,0,0,0,41,55,0,0,0,0,26
2017-07-01,10,0,28,16,0,0,0,16,10,0,16,0,0,0,0,20,0,0,0,0,29,7,0,0,0,21,0,26,0,0,0,0,0,55,0,0,0,17,0,0,0,0,28,0,13,29,0,0,0,0,31,23,16,0,0,0,0,0,26
2017-08-01,14,0,17,0,0,0,0,10,6,0,14,0,0,0,0,0,0,19,0,0,0,4,0,0,0,19,0,23,0,0,0,0,0,0,0,0,0,24,0,0,0,0,25,0,17,27,0,0,0,0,28,21,22,100,0,0,46,0,35
2017-09-01,30,0,58,14,0,13,0,21,18,0,14,0,0,0,0,17,0,19,24,0,0,18,0,0,38,18,0,0,28,0,0,0,0,48,0,0,0,15,0,0,0,26,0,0,22,0,23,0,0,38,0,0,47,0,0,0,45,32,23
2017-10-01,52,0,72,13,27,19,0,32,11,0,26,0,15,0,26,66,0,0,23,0,25,65,0,0,36,53,0,0,18,0,70,0,0,23,0,0,34,26,0,4,0,0,23,21,21,25,0,34,0,0,0,0,62,47,22,0,44,92,61
2017-11-01,43,46,78,26,0,13,0,34,19,0,19,0,0,37,12,32,0,36,0,0,24,21,50,0,71,17,50,0,18,0,0,0,0,34,34,0,34,61,0,0,0,24,34,0,31,0,0,34,0,36,25,19,48,0,0,0,0,0,32
