date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza,influenza a and b,cure the flu,flu season,flu shots,dangerous fever,break a fever,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,how long does flu last,food poisoning,influenza a,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,flu map,treatment for flu,taking temperature,exposed to flu,keto flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2012-10-01,24,0,0,9,0,0,3,0,0,0,51,0,0,0,0,0,31,0,0,0,0,20,0,0,9,0,0,0,0,0,0,0,23,48,0,13,14,22,0,0,0,0,0,0,0,64,21,21,0,0,0,4,4,0,0,0,0,46,0,0,0,0,19,0,3,0,0,0,0,0,0,41,21,18,0,0,18,0,20,0,0,0,0,0,36,51,0,5,0,21,40,0,60,0,0,0,23
2012-11-01,19,0,0,0,0,0,6,0,0,16,20,0,0,3,0,0,48,0,0,0,0,16,0,0,3,27,0,9,0,0,0,0,22,13,0,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,22,22,0,18,9,3,0,0,0,0,20,0,99,0,17,0,17,17,19,19,19,0,0,17,0,0,41,5,10,5,0,19,19,19,0,0,0,49
2012-12-01,29,0,9,9,0,0,36,1,0,8,17,0,8,0,0,0,58,20,20,0,0,31,0,0,13,19,9,9,0,0,15,0,52,13,0,40,13,11,0,0,0,0,33,0,0,20,0,0,0,4,0,17,0,0,27,27,0,22,0,0,65,0,19,20,4,0,0,0,0,0,0,20,0,35,0,18,45,19,19,0,0,0,0,0,17,52,0,8,16,0,39,20,40,11,11,0,33
2013-01-01,93,0,17,0,0,0,98,10,0,16,70,0,0,0,0,0,44,57,95,0,0,86,3,0,21,78,0,35,0,35,42,0,48,19,12,12,25,58,0,0,0,0,47,31,0,57,19,0,0,16,0,59,8,0,100,50,50,20,0,41,82,15,8,76,8,17,17,52,0,38,0,56,19,33,0,17,42,18,100,36,0,32,16,0,48,62,0,20,10,18,28,83,19,16,0,0,47
2013-02-01,23,0,0,0,0,0,17,0,0,0,24,8,0,0,0,0,50,20,40,0,0,33,3,0,6,9,0,18,0,0,0,0,14,13,0,13,0,3,0,0,0,0,0,48,0,40,40,0,0,0,0,14,0,26,0,26,0,0,0,0,22,6,10,17,0,18,0,0,0,29,0,20,0,17,0,17,17,0,19,0,0,0,0,0,0,41,5,5,5,0,38,38,0,22,11,0,48
2013-03-01,9,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,45,0,35,0,18,12,0,0,5,8,0,16,0,13,0,0,13,46,12,0,0,3,0,0,0,0,29,0,0,18,18,0,0,0,0,9,0,0,0,0,0,0,0,19,19,0,11,3,3,0,0,0,0,0,0,17,0,0,0,15,15,0,17,0,17,0,0,0,0,25,0,7,0,0,17,0,0,10,0,0,43
2013-04-01,12,8,0,23,0,0,3,0,0,0,0,0,0,0,0,0,21,0,17,0,17,10,0,0,8,8,0,8,0,0,0,0,13,28,0,11,0,4,0,0,0,0,0,0,0,35,18,0,0,0,0,0,4,34,0,0,23,0,0,0,19,5,19,2,0,0,0,0,0,0,0,60,0,0,0,0,15,0,17,0,0,29,0,0,15,36,0,7,0,0,0,0,0,0,0,0,29
2013-05-01,7,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,0,0,5,0,0,3,8,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,11,3,3,0,0,0,0,0,0,37,0,0,0,0,16,0,0,0,18,0,0,0,0,39,0,5,5,0,18,0,0,0,0,0,20
2013-06-01,6,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,29,0,0,0,0,3,0,0,3,9,0,9,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,22
2013-07-01,6,0,0,0,0,0,2,0,0,0,7,7,0,3,0,0,15,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,13,24,0,24,12,2,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,16,0,0,0,36,0,0,16,16,0,0,0,17,17,15,0,0,15,19,0,5,0,0,0,0,0,0,0,0,25
