date,flu,bird flu,cure the flu,flu season,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,flu hawaii,flu vs cold,flu and fever,flu care,flu headache,flu symptoms 2018,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza symptoms,the flu virus,reduce fever,thermoscan,normal body temperature,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu symptoms 2016,swine flu,flu cough,contagious flu,flu report,signs of flu,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,flu map,cdc flu,taking temperature,flu symptoms 2019,flu shot symptoms,keto flu,flu contagious,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu shot side effects,treat flu,body temperature,h1n1 flu
2015-01-01,47,12,56,25,68,100,28,16,48,53,49,45,93,32,26,23,55,21,0,69,22,18,0,22,0,20,9,11,24,39,27,0,23,57,0,24,11,26,23,49,27,30,44,31,42,25,51,0,10,45,19,23,0,85,43,0,0,0,31,45,48,90,31,23,0,0,0,0,19,90,12,0,0,0,26,21,27,26,72,23
2015-02-01,29,14,0,15,79,72,100,0,0,36,38,53,87,37,53,27,74,24,0,49,27,21,0,40,0,15,16,13,29,0,65,0,27,60,26,28,13,31,27,29,0,14,26,18,57,29,58,0,0,27,45,0,0,29,26,0,95,29,18,54,28,80,0,27,28,0,0,0,45,89,14,55,29,0,30,25,0,0,37,0
2015-03-01,26,13,60,20,57,29,40,50,0,30,20,0,22,0,20,24,50,21,0,0,23,50,21,0,0,6,0,0,26,0,57,0,0,27,23,38,0,0,37,26,0,13,23,48,75,17,54,0,0,24,0,0,0,0,23,0,0,0,16,0,0,27,33,24,24,0,0,0,0,60,0,37,26,23,41,22,0,27,33,0
2015-04-01,17,0,0,0,67,41,35,20,29,30,32,28,51,78,16,28,20,0,0,17,27,22,16,28,0,14,5,14,30,0,0,0,0,16,0,0,14,0,29,0,0,15,80,28,66,20,51,0,0,0,47,0,0,30,0,27,0,0,19,56,30,8,0,0,29,0,0,0,47,85,22,29,0,0,0,26,0,64,39,0
2015-05-01,16,22,0,0,81,26,22,38,0,12,12,0,25,0,0,27,28,0,0,49,26,29,0,26,0,0,0,13,0,0,0,0,0,15,0,0,13,31,28,29,0,35,0,0,67,39,81,0,0,26,0,0,30,100,0,0,0,28,0,0,0,15,0,0,55,0,0,0,0,85,0,27,0,0,31,24,0,0,48,0
2015-06-01,12,42,0,0,35,15,26,22,0,14,9,0,14,0,18,0,22,0,0,94,0,0,18,0,0,4,12,0,0,0,0,0,31,52,0,0,0,36,0,0,37,65,0,0,24,23,40,0,0,0,52,0,0,16,0,30,0,0,0,0,0,9,0,0,0,0,0,0,52,66,16,0,66,0,35,0,0,36,31,0
2015-07-01,14,0,0,0,36,18,0,0,0,7,17,0,0,0,0,37,26,0,0,89,0,19,22,36,0,0,14,0,0,0,44,0,37,51,35,0,0,0,0,0,0,0,0,0,58,0,64,0,0,36,0,0,0,0,0,0,0,39,0,73,0,0,0,0,37,0,0,0,0,39,39,37,0,0,42,0,0,0,29,0
2015-08-01,19,0,0,29,40,17,30,25,0,9,11,0,16,0,41,0,25,0,0,22,0,38,0,0,0,13,7,0,38,0,0,0,35,0,34,0,0,0,0,39,0,19,0,24,51,26,35,0,0,0,0,0,0,0,0,0,0,38,0,0,0,10,0,36,0,0,0,0,0,33,19,0,0,0,0,0,0,0,42,0
2015-09-01,21,0,0,19,60,0,29,0,0,24,16,0,0,0,30,0,25,0,0,43,0,19,0,0,0,46,10,18,0,0,0,0,36,99,34,0,18,42,0,39,0,37,0,24,47,0,39,0,0,70,0,0,0,19,0,0,0,0,24,71,0,0,0,0,0,0,38,0,0,76,19,0,0,0,81,0,0,82,42,0
2015-10-01,28,0,0,39,60,70,30,100,0,28,21,36,0,100,41,71,100,0,0,22,0,19,21,35,0,64,21,18,0,62,0,0,36,60,0,38,18,42,0,39,0,28,34,48,28,26,42,0,0,35,30,0,0,19,0,0,0,0,0,0,0,10,0,71,0,0,38,0,30,57,28,0,38,0,82,33,32,41,21,0
2015-11-01,21,19,0,60,59,0,0,0,0,24,25,0,0,0,0,0,25,0,0,22,0,19,21,0,0,25,18,18,0,0,44,0,36,61,0,0,18,0,0,40,0,0,0,37,72,0,59,0,0,0,31,0,0,0,35,0,0,0,49,0,39,0,0,0,0,0,39,0,31,34,19,0,0,0,41,0,22,0,22,0
