date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,human temperature,medicine for flu,flu treatments,cold vs flu,influenza type a,flu a symptoms,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,nc flu,how long does the flu last,flu virus,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,cdc flu,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2013-08-01,4,0,17,0,0,0,0,0,4,0,0,0,0,0,27,1,2,0,0,2,2,0,1,0,3,9,0,0,4,0,0,10,0,0,6,0,6,0,0,0,1,6,0,0,15,0,0,6,0,0,0,0,0,29,0,0,0,0,4,1,6,5,2,0,9,0,2,0,2,5,0,4,17,0,0,0,7,0,0,0,0,3,0,7,2,22,0,1,2,0,0,13,0,3,0,44
2013-09-01,11,16,0,0,0,0,0,0,12,0,9,0,0,0,46,4,3,0,0,7,5,0,6,1,3,16,0,0,8,0,0,14,2,6,11,0,0,0,0,0,1,11,8,0,37,5,0,5,0,6,9,0,3,37,0,0,0,1,12,1,3,3,1,4,37,0,2,0,0,3,2,3,21,4,0,0,4,2,0,7,0,2,0,10,2,42,0,4,2,4,8,6,0,2,2,46
2013-10-01,17,16,16,0,0,0,0,6,6,9,0,0,0,0,48,3,2,0,0,9,7,0,5,2,8,8,0,0,4,0,2,20,5,0,14,6,0,0,0,0,3,19,11,0,13,5,5,27,0,9,6,12,0,47,0,0,0,1,21,1,4,9,3,5,43,2,6,0,0,8,2,13,25,4,6,0,4,2,0,12,0,0,0,8,6,42,0,3,7,10,12,10,0,0,0,62
2013-11-01,14,16,16,16,0,0,0,0,4,9,9,0,9,0,48,5,2,0,0,9,8,0,8,2,6,12,0,0,21,0,0,21,5,6,23,0,0,0,1,0,1,6,8,0,22,8,0,6,6,16,3,3,0,36,0,0,0,0,16,2,7,17,3,4,21,0,4,0,2,3,2,11,16,4,0,4,7,0,0,8,0,5,2,6,4,54,1,7,5,12,24,6,4,5,0,52
2013-12-01,23,16,24,32,32,0,4,2,8,0,53,0,26,1,66,13,6,0,0,17,18,0,22,3,17,25,0,0,20,5,2,28,18,11,23,14,9,0,0,0,3,16,14,0,22,17,0,28,8,22,16,19,3,26,1,0,1,2,20,4,11,29,9,11,16,2,25,2,2,5,2,24,14,7,15,4,11,5,13,20,5,2,6,11,25,67,2,4,4,6,20,16,4,5,3,51
2014-01-01,38,0,44,22,37,2,5,11,9,16,24,8,16,1,75,14,4,0,0,32,30,0,24,3,31,61,0,8,23,11,4,39,21,11,26,29,10,0,0,1,2,41,30,0,23,18,10,18,5,32,18,18,9,41,0,0,0,2,52,10,10,27,9,13,31,7,36,2,5,16,2,45,23,12,31,8,12,9,5,42,0,4,8,25,36,84,1,5,11,20,35,28,6,8,0,72
2014-02-01,17,0,15,0,0,0,2,0,10,9,9,0,17,1,57,6,2,0,0,14,15,0,11,3,17,28,0,0,4,5,9,32,2,11,19,11,0,0,1,0,1,16,16,0,11,16,5,14,5,22,6,9,3,37,0,0,0,1,14,4,3,30,6,7,12,3,9,0,2,4,2,31,24,9,6,9,11,10,0,17,2,4,3,6,9,56,2,4,7,8,8,12,4,10,4,60
2014-03-01,9,14,14,0,0,0,0,2,2,0,16,0,0,0,52,6,1,0,0,9,8,0,10,2,10,22,0,0,0,0,2,33,4,5,20,18,5,0,0,0,0,20,15,0,22,20,5,5,0,9,9,11,3,35,0,0,0,1,7,2,10,32,2,5,6,0,13,0,3,4,0,13,16,4,16,12,8,0,0,25,5,4,4,6,13,39,0,2,4,5,16,9,4,7,2,47
2014-04-01,8,15,0,0,0,0,2,0,6,0,9,0,0,0,41,6,5,0,0,8,10,0,11,1,7,8,0,0,4,2,2,18,0,5,8,0,11,0,0,0,1,0,8,0,5,5,0,5,5,12,6,12,0,34,0,0,0,1,6,3,8,25,2,2,4,0,10,0,0,2,2,12,22,4,9,0,4,0,0,22,2,3,0,0,10,49,0,3,2,6,10,8,0,2,7,53
2014-05-01,5,0,0,0,16,0,2,0,0,18,9,0,9,1,36,1,1,0,0,5,2,0,2,0,2,16,0,0,0,0,0,14,7,6,6,6,0,0,0,0,0,5,6,0,14,0,0,0,0,0,3,10,0,26,0,0,0,1,6,2,6,16,5,3,1,0,4,0,2,2,0,2,18,0,0,0,9,0,3,5,0,4,0,2,4,56,0,4,4,4,4,4,0,3,0,57
2014-06-01,4,0,0,0,0,0,0,2,0,11,0,0,11,1,36,2,3,0,0,2,2,0,4,0,1,5,0,0,5,0,3,29,3,0,7,7,0,0,0,0,1,0,0,0,27,0,0,7,7,8,0,0,0,30,0,0,0,0,3,1,4,9,3,5,7,3,3,0,0,2,0,3,10,0,5,0,5,0,0,3,0,5,0,3,3,37,0,3,1,0,10,0,0,0,0,61
2014-07-01,3,0,0,0,0,0,0,0,5,0,0,0,0,0,26,1,1,0,0,2,2,0,2,0,1,10,0,0,0,0,3,11,0,0,7,0,0,0,0,0,1,0,10,0,16,0,0,7,0,0,0,0,4,35,0,0,0,0,4,0,3,9,0,2,3,0,0,0,3,0,0,2,15,0,0,0,11,0,0,0,6,3,0,5,0,33,0,4,2,10,5,5,0,0,3,43
2014-08-01,4,0,0,0,0,0,2,5,2,10,0,0,0,0,31,1,1,0,0,2,2,0,2,1,3,14,0,0,5,0,0,13,0,0,0,0,0,0,0,0,1,0,6,0,16,6,6,10,0,7,4,7,0,33,0,0,0,0,3,1,2,6,2,3,8,0,2,2,0,0,0,6,17,0,5,0,10,0,0,0,0,2,0,5,2,33,0,2,1,5,5,19,0,0,0,31
2014-09-01,11,0,35,0,0,0,0,4,2,0,10,0,0,0,45,4,2,0,0,8,5,0,6,1,4,18,0,0,4,0,0,23,5,0,9,6,6,0,0,0,1,6,9,0,33,6,0,6,6,3,0,10,0,46,0,0,0,0,15,2,5,12,4,4,27,0,7,0,2,2,0,5,16,0,5,5,0,0,0,3,3,7,0,8,7,39,0,1,4,4,9,13,0,3,0,66
