date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,michigan flu,flu lasts,the flu,flu symptoms,cure flu,cold vs. flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,treating the flu,flu children,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,cold versus flu,flu vs cold,flu and fever,flu care,flu headache,human temperature,high fever,flu in michigan,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,flu complications,signs of the flu,treat flu,how to get rid of the flu
2012-09-01,15,15,0,15,15,7,1,0,1,31,2,5,0,0,0,1,37,6,6,11,0,11,8,0,0,2,14,4,6,8,12,0,0,5,55,5,0,1,25,0,0,10,14,0,10,9,28,23,0,8,0,0,22,1,1,1,33,0,0,63,10,1,2,9,3,10,21,2,0,0,6,6,0,66,5,0,11,4,5,0,0,0,0,0,4,31,0,3,4,0,7,10,7,0,12,12,0
2012-10-01,20,15,15,0,15,9,0,0,1,47,3,5,0,0,0,3,51,4,6,14,0,13,11,0,0,2,11,2,6,0,24,8,0,0,65,0,22,0,42,0,0,0,7,14,0,27,41,18,5,0,0,0,21,1,1,1,46,0,0,62,0,1,6,22,1,8,37,3,0,0,0,9,0,65,16,5,0,4,18,4,7,0,3,0,7,47,1,5,1,0,21,17,14,0,0,0,0
2012-11-01,15,0,13,20,13,10,0,1,1,21,2,4,0,0,0,2,48,8,10,12,0,13,11,0,0,2,14,2,10,0,7,7,7,0,34,5,0,0,19,0,0,6,0,6,6,12,33,8,0,5,5,0,15,2,1,1,32,0,9,66,19,2,5,28,2,5,22,2,2,0,5,8,5,61,12,15,15,0,13,0,8,3,0,0,3,47,1,4,3,0,16,19,15,0,11,11,21
2012-12-01,29,0,17,0,17,28,0,1,1,18,3,8,3,1,0,2,54,10,17,25,0,30,21,1,0,10,23,4,16,9,32,0,28,25,56,6,13,1,27,0,0,8,20,8,12,26,21,26,5,6,6,6,19,1,1,1,30,12,24,90,12,4,11,74,5,8,18,5,0,0,7,13,0,66,6,6,53,8,31,4,15,0,8,0,32,65,1,9,3,16,8,35,12,0,14,14,14
2013-01-01,76,0,46,58,19,41,2,1,3,86,7,7,0,1,0,1,61,11,23,99,2,70,61,1,0,9,81,6,23,7,100,22,11,48,97,14,58,1,57,0,0,27,30,42,30,12,48,76,4,21,14,9,55,4,2,3,33,19,9,60,28,12,17,57,17,13,53,11,7,8,15,67,10,79,26,17,41,10,50,13,11,3,9,9,34,63,3,12,6,15,34,36,21,11,74,32,42
2013-02-01,24,0,28,28,35,24,1,1,1,8,5,7,2,1,0,1,52,19,6,11,3,28,23,0,0,5,31,3,6,8,31,8,8,26,42,10,37,2,8,0,1,16,10,13,7,17,65,22,17,13,5,5,52,2,1,3,29,25,10,50,15,10,8,58,13,6,15,5,4,6,11,14,0,36,10,16,21,12,23,3,12,0,0,0,33,65,1,9,3,16,13,36,23,11,34,0,11
2013-03-01,20,14,28,14,28,20,1,1,1,2,9,5,0,0,0,2,46,15,7,8,0,18,14,0,0,4,13,2,7,0,38,8,8,15,41,0,15,1,9,0,0,7,16,0,26,13,39,4,17,5,5,5,23,1,2,1,33,10,10,35,10,5,8,52,7,9,6,4,2,6,6,17,6,62,10,10,15,0,24,7,9,7,3,0,27,60,1,8,4,20,13,13,13,0,22,11,11
2013-04-01,14,14,28,14,14,13,0,0,1,2,2,0,0,0,0,1,42,6,6,8,0,14,8,1,0,2,12,5,6,0,15,0,16,10,58,0,26,0,5,0,0,20,0,13,7,4,13,4,4,15,5,5,36,1,1,1,37,10,0,30,15,6,5,50,7,11,9,3,2,0,0,8,0,47,0,0,5,5,14,0,10,0,7,3,10,47,1,5,4,13,0,16,10,0,0,23,0
2013-05-01,7,0,0,0,15,6,0,1,1,2,2,4,0,0,1,1,34,8,5,4,0,5,5,0,0,2,6,2,5,0,16,0,16,0,28,0,22,1,4,0,0,7,0,0,14,14,60,5,0,5,0,0,11,1,1,1,29,11,21,37,0,1,3,21,3,3,5,0,2,0,6,6,6,72,0,6,0,7,9,4,0,0,4,0,4,43,1,2,4,10,0,7,10,0,0,12,0
2013-06-01,5,0,0,0,0,2,0,1,1,0,0,5,0,0,0,1,28,4,2,5,2,4,4,0,0,0,8,4,2,0,9,0,0,0,29,0,0,0,1,0,0,7,0,0,7,10,34,0,0,6,0,0,12,1,0,1,22,0,22,17,0,1,1,16,1,8,5,3,0,0,0,0,0,29,0,0,6,8,4,8,0,0,0,0,7,29,0,4,3,0,0,15,22,0,0,0,0
