date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,flu 2019,incubation period for flu,reduce a fever,flu missouri,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,thermoscan,normal body temperature,how to treat the flu,flu virus,fever flu,stomach flu,how long does flu last,swine flu,st louis flu,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,exposed to flu,free flu shots,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2013-10-01,22,0,0,23,23,8,1,1,1,49,3,2,0,0,0,46,3,1,0,0,11,0,0,7,0,5,14,0,0,0,3,2,7,9,58,0,0,1,42,0,6,0,11,0,26,0,17,34,7,5,5,0,7,18,0,9,9,0,14,0,16,7,30,4,4,22,0,0,9,0,5,0,33,0,13,6,6,5,5,25,5,4,49,9,0,0,12,30,6,6,13,13,61,4,4,0,78
2013-11-01,16,0,35,0,0,9,1,0,0,29,0,3,2,1,1,52,4,1,0,0,12,2,0,8,1,5,9,0,0,0,0,3,3,6,54,0,9,0,27,0,3,11,11,0,27,0,10,38,7,5,0,0,12,9,0,14,0,4,10,0,10,4,14,2,2,21,4,4,0,0,14,0,58,7,13,0,0,0,0,14,6,0,11,0,0,6,25,31,19,10,10,10,36,0,8,4,40
2013-12-01,23,0,23,34,46,19,1,0,1,9,2,9,0,1,0,64,9,2,0,0,20,1,0,19,3,9,21,0,0,0,6,2,9,31,34,6,9,1,17,0,2,16,21,16,0,0,20,67,10,9,9,0,7,32,9,23,18,4,16,4,29,7,58,9,14,15,13,7,37,9,9,0,42,6,32,6,13,5,27,22,8,0,7,37,4,0,24,42,30,6,39,32,10,8,4,4,61
2014-01-01,45,0,45,22,45,25,1,2,1,38,2,3,2,1,0,69,14,2,0,0,34,1,0,28,3,4,20,0,9,0,2,5,28,24,42,18,6,1,35,0,4,0,36,31,46,0,20,79,16,16,9,0,11,27,27,9,18,4,13,4,46,14,54,26,26,50,20,7,27,5,64,0,55,0,16,0,6,11,27,56,8,5,32,27,4,6,47,12,24,16,38,35,29,11,21,4,55
2014-02-01,17,23,0,23,23,12,1,0,0,3,0,3,2,1,0,56,6,2,0,0,15,1,0,12,2,0,23,5,5,0,0,0,8,6,53,6,13,1,8,0,1,11,38,11,11,0,14,55,10,17,5,0,7,14,0,23,9,0,14,0,20,11,56,7,9,7,4,0,17,0,14,0,29,7,20,7,13,8,11,33,6,4,0,17,4,6,19,0,31,7,17,0,7,10,12,0,80
2014-03-01,11,0,22,22,0,8,0,0,1,2,3,3,0,0,0,46,5,1,0,0,11,0,0,11,3,9,9,0,5,0,0,5,5,0,42,0,9,1,3,0,0,10,20,0,0,0,23,33,0,9,0,0,9,9,9,18,0,4,9,0,11,9,42,2,5,9,7,0,7,0,5,0,23,6,9,6,9,0,0,19,0,4,0,7,4,0,23,23,23,9,9,6,0,0,4,0,46
2014-04-01,8,0,0,0,23,8,1,0,0,3,3,3,2,0,0,36,2,1,0,0,7,0,0,3,3,14,9,0,0,0,0,2,5,0,40,0,18,1,3,0,0,0,0,21,0,0,27,50,0,0,5,0,14,18,9,36,9,4,12,0,12,2,37,3,2,7,4,4,4,0,0,0,28,6,0,0,13,0,11,5,0,0,0,4,0,6,24,12,6,0,13,19,6,0,4,4,52
2014-05-01,5,0,0,0,0,6,0,0,0,3,4,2,0,0,0,33,0,1,0,0,4,0,0,0,0,0,13,0,0,0,0,0,0,7,53,7,7,1,2,0,0,0,0,0,12,0,8,43,0,0,5,0,5,10,10,21,10,4,9,4,9,6,18,0,4,0,4,0,0,0,11,0,11,8,0,0,7,0,0,13,0,0,0,0,0,0,7,14,0,7,0,0,7,4,4,0,36
2014-06-01,4,0,0,0,0,5,1,0,1,4,2,6,0,0,0,29,2,0,0,0,4,2,0,3,2,5,5,0,0,0,0,0,3,0,29,0,7,0,1,0,0,0,0,12,0,0,12,60,8,0,0,0,11,11,0,11,0,5,11,0,9,6,21,0,0,4,4,0,4,0,0,0,28,0,8,0,8,0,0,20,0,0,0,4,0,0,14,0,0,0,8,0,0,0,0,0,37
2014-07-01,4,0,0,0,0,3,1,0,0,2,2,4,0,0,0,30,2,1,0,0,3,0,0,3,0,0,14,0,0,0,0,3,0,11,48,0,7,0,2,0,0,0,0,0,0,0,8,28,8,0,0,0,0,0,0,0,0,7,5,0,9,0,19,2,2,4,0,0,4,0,0,0,22,0,15,0,8,0,6,7,0,0,0,4,4,0,7,22,0,0,8,8,0,0,0,0,30
2014-08-01,6,0,0,0,0,4,0,0,1,5,2,2,0,0,0,35,0,1,0,0,3,0,0,0,0,5,8,0,0,0,0,3,0,7,47,0,0,0,5,0,1,0,0,18,0,0,16,39,0,0,0,0,5,32,11,26,0,5,16,5,14,2,21,0,0,4,4,0,13,0,5,0,33,0,0,0,15,0,0,6,0,0,13,13,0,0,0,7,7,0,0,8,8,0,5,0,64
2014-09-01,15,0,0,0,0,6,0,0,0,31,2,2,0,1,0,53,3,2,0,0,7,2,0,7,0,5,21,5,0,0,3,3,10,0,56,0,7,1,22,0,2,0,24,12,24,0,38,34,8,11,0,0,8,10,10,10,0,0,11,0,13,4,14,4,4,27,0,4,0,5,0,0,21,0,0,0,0,6,0,12,6,4,25,0,0,0,0,14,7,11,18,7,30,4,4,0,69
