date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,dc flu,how long is the flu contagious,medicine for the flu,treating flu,flu like symptoms,flu how long,fever cough,flu and cold,flu lasts,the flu,flu symptoms,flu shot cvs,flu game,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,spanish flu,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,cold symptoms,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,over the counter flu medicine,flu or cold,get rid of the flu,is flu contagious,flu germs,flu fever,early flu symptoms,how long is flu contagious,symptoms of the flu,cdc flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2013-02-01,26,0,0,0,0,0,0,0,0,6,0,0,11,25,0,0,0,22,10,12,0,24,24,0,1,0,24,0,18,23,0,0,18,0,46,11,34,2,1,0,4,0,17,0,0,0,36,27,27,0,28,0,0,0,0,1,49,68,0,0,15,15,12,12,46,10,13,5,5,0,22,11,0,0,0,35,0,27,14,14,41,65,13,0,13,55,0,7,6,0,31,0,0,0,0,78
2013-03-01,19,0,0,13,0,0,0,0,0,0,0,0,4,20,0,0,20,16,8,12,0,15,21,0,0,0,14,0,5,22,0,0,7,0,41,0,18,1,0,0,1,0,14,14,14,0,43,72,29,0,22,0,0,1,0,2,40,45,0,6,12,12,15,7,59,4,8,4,4,0,0,13,0,0,0,14,0,16,11,11,16,10,0,0,26,53,0,2,5,0,33,0,0,0,0,47
2013-04-01,13,0,0,100,0,0,0,40,0,4,0,0,4,0,0,0,32,13,10,6,0,9,11,0,1,0,12,0,12,12,0,0,0,0,33,0,37,2,1,0,1,0,11,11,0,0,12,53,18,0,18,0,0,1,0,1,37,37,0,0,5,14,6,8,44,10,6,3,0,0,0,7,0,0,0,17,0,18,0,0,22,8,9,0,17,40,0,3,5,0,13,0,0,0,0,65
2013-05-01,7,0,0,24,0,0,0,0,0,4,0,0,4,0,0,0,18,5,9,7,0,8,5,0,1,0,4,0,9,14,0,0,0,0,29,0,38,2,0,0,1,0,0,13,0,0,13,40,0,0,0,0,0,0,0,1,38,36,0,6,6,14,9,5,27,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,15,19,0,0,10,33,0,2,2,0,15,0,0,0,0,60
2013-06-01,7,0,0,71,0,0,0,0,0,0,0,0,5,0,0,0,21,4,4,9,0,4,5,0,1,0,0,0,0,16,0,0,8,0,25,0,25,0,0,0,3,0,0,15,15,0,24,63,16,0,0,0,0,0,0,0,44,0,0,0,13,5,0,11,24,4,9,4,0,0,0,0,0,0,0,0,0,24,12,0,0,11,0,0,11,35,0,5,3,0,18,0,0,0,0,55
2013-07-01,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,27,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,65,24,0,0,12,20,0,0,20,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,19,0,0,5,0,0,0,0,15,0,51
2013-08-01,7,0,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0,0,0,8,0,3,7,0,0,0,0,0,30,15,0,0,15,0,29,0,38,2,0,0,4,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,52,25,0,0,0,21,0,10,15,8,8,0,0,0,0,18,0,29,0,0,0,23,0,0,23,0,0,0,0,15,0,5,0,35,35,0,0,0,0,30
2013-09-01,17,0,0,0,0,0,0,0,0,30,0,0,15,0,0,0,33,10,0,10,0,7,6,2,2,0,8,0,16,18,0,0,24,0,38,0,30,0,0,0,23,0,23,0,68,0,24,48,60,0,36,0,0,1,0,0,48,30,0,0,25,25,8,8,12,0,20,0,0,0,0,15,0,0,0,0,0,18,0,0,0,35,35,0,17,22,0,4,4,0,55,0,0,0,0,42
2013-10-01,28,0,0,22,0,0,0,0,0,75,0,0,49,33,0,0,33,20,10,10,0,13,8,5,0,0,40,0,8,18,0,0,18,0,30,0,45,3,2,0,63,0,0,0,0,0,24,24,24,0,0,0,0,1,0,3,44,30,0,0,0,12,0,8,16,20,57,7,0,0,0,15,0,0,0,46,0,18,0,18,0,35,0,0,0,42,0,8,0,0,28,0,0,0,0,36
2013-11-01,19,0,0,23,0,0,0,0,0,37,0,0,20,0,0,0,0,15,21,14,0,11,5,2,2,0,0,0,9,26,0,0,13,0,16,0,49,2,0,0,24,0,25,0,0,0,0,26,26,0,40,0,0,0,0,0,59,38,0,11,0,9,9,9,18,7,44,0,0,0,0,0,0,0,0,25,0,20,0,0,0,19,0,0,38,35,0,4,6,0,0,0,0,0,0,46
