date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,pneumonia,flu how long,fever cough,flu and cold,braun thermoscan,the flu,flu symptoms,cure flu,how long flu,how long is the flu,symptoms of flu,fever reducer,flu contagious period,treating the flu,flu children,incubation period for flu,how long contagious,i have the flu,low body,treat the flu,is the flu contagious,do i have the flu,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu headache,flu vs. cold,flu symptoms 2018,human temperature,spanish flu,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,cdc,type a influenza,influenza incubation period,thermoscan,how to treat the flu,how long does the flu last,fever flu,stomach flu,swine flu,flu vaccine,flu cough,over the counter flu,what to do if you have the flu,flu report,signs of flu,flu test,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,flu map,treatment for flu,cdc flu,taking temperature,flu shot symptoms,flu contagious,flu length,bronchitis,symptoms of bronchitis,boston flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2012-10-01,12,0,42,0,0,16,0,0,16,0,0,0,0,49,0,6,0,0,11,5,0,0,0,6,0,0,0,0,0,26,13,26,0,0,0,47,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,52,0,0,0,0,0,12,12,0,39,9,0,0,0,0,0,74,0,0,0,0,14,0,0,0,0,0,22,0,0,0,23,0,0,0,0,44,65,0,0,0,64
2012-11-01,11,0,0,0,0,0,0,0,16,0,0,0,0,46,6,4,8,0,8,6,0,9,0,19,0,0,0,0,0,33,0,40,0,0,0,20,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,29,0,48,0,0,0,0,0,18,0,9,18,9,0,0,0,0,19,38,19,0,0,15,29,0,15,0,0,0,23,10,10,0,31,0,0,0,32,0,44,0,22,0,43
2012-12-01,15,0,0,0,0,0,0,0,38,0,0,0,0,53,9,5,9,0,18,14,0,14,0,14,0,0,0,0,0,38,0,31,31,0,0,15,0,0,0,24,24,10,0,0,0,0,31,0,31,0,34,0,0,37,0,0,4,14,0,14,27,10,26,10,0,0,0,0,0,44,22,0,22,17,0,0,0,26,0,53,0,0,6,0,82,37,0,0,37,26,26,0,0,0,34
2013-01-01,68,0,0,0,0,0,18,0,27,0,0,53,0,98,17,4,22,0,62,46,2,27,7,51,0,0,0,78,54,29,15,57,14,4,4,67,0,0,0,0,23,18,0,0,0,0,29,0,0,0,0,32,0,58,0,0,0,13,19,0,39,10,63,10,0,0,0,32,21,20,0,0,41,32,0,0,0,61,0,49,0,6,20,0,51,52,87,69,0,24,48,0,24,0,71
2013-02-01,12,0,0,0,0,0,0,0,48,0,0,49,0,61,10,8,12,0,13,9,2,15,0,9,0,0,0,0,0,26,0,13,0,3,0,7,0,0,0,21,41,8,0,0,0,26,0,0,26,0,58,0,0,39,0,0,0,0,12,23,47,0,0,9,0,0,0,0,19,19,0,0,0,0,0,0,0,22,22,0,22,5,16,0,49,31,32,0,0,22,0,0,0,0,64
2013-03-01,8,0,0,0,0,0,0,0,15,0,0,0,0,34,7,4,11,0,11,5,0,11,0,6,0,0,0,0,0,12,12,18,0,0,0,6,0,0,0,19,0,0,0,0,0,48,24,0,24,0,0,0,0,31,0,0,3,0,16,0,37,0,8,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,20,0,5,0,42,58,0,0,0,0,0,0,0,0,20
2013-04-01,11,0,0,0,0,0,0,0,0,0,0,46,0,33,7,7,4,0,7,5,0,12,6,12,0,0,0,0,0,31,12,0,0,0,3,3,0,0,0,0,0,8,0,0,8,49,0,0,0,0,0,0,0,36,0,0,0,0,11,11,22,0,8,0,0,0,0,0,0,52,17,0,17,0,0,0,0,0,0,21,0,5,5,0,17,0,30,0,29,0,0,0,0,0,33
2013-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,5,1,0,0,0,6,0,0,0,44,0,12,12,12,0,0,0,0,0,0,0,39,0,0,0,0,15,25,0,0,50,0,0,0,0,28,0,0,0,0,0,0,28,8,8,8,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,21,0,5,0,34,0,30,0,0,21,0,0,0,0,34
2013-06-01,4,0,0,0,0,0,16,0,0,0,0,0,0,14,0,0,0,2,0,2,0,0,0,12,6,0,0,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,35,9,0,9,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,28
2013-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,19,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,0,0,0,0,0,0,0,0,48
