date,flu,bird flu,influenza a and b,pneumonia,flu how long,fever cough,flu and cold,the flu,flu symptoms,how long flu,how long is the flu,symptoms of flu,fever reducer,cold and flu,how long contagious,i have the flu,low body,is the flu contagious,flu vs cold,flu symptoms 2018,human temperature,high fever,spanish flu,cold vs flu,influenza symptoms,the flu virus,thermoscan,normal body temperature,how long does the flu last,cdc flu map,fever flu,stomach flu,how long does flu last,swine flu,flu cough,contagious flu,signs of flu,normal body,is flu contagious,ear thermometer,flu fever,symptoms of the flu,keto flu,flu contagious,bronchitis,oscillococcinum,flu medicine,body temperature
2017-12-01,27,0,42,66,0,24,18,16,31,0,0,20,35,18,42,0,17,0,0,0,25,25,40,0,13,0,39,19,0,0,0,25,0,0,0,36,0,22,0,0,0,25,0,36,27,0,0,15
2018-01-01,85,28,78,96,28,45,49,98,98,28,61,46,0,49,65,0,64,0,52,77,0,0,37,46,37,27,0,18,0,37,26,47,0,11,0,67,62,0,46,82,17,46,0,67,40,100,81,43
2018-02-01,100,0,42,100,61,48,53,100,100,61,44,100,0,44,42,0,17,0,83,100,100,25,41,100,48,29,0,40,0,0,56,51,44,0,56,36,100,44,50,0,56,50,0,36,44,31,43,46
2018-03-01,39,0,39,86,19,0,0,43,21,19,0,28,0,0,0,0,32,0,0,23,0,46,75,0,31,0,0,0,0,0,52,12,0,0,26,34,62,20,0,41,69,46,0,34,44,0,0,14
2018-04-01,16,0,0,33,20,0,0,19,17,20,0,20,0,0,0,34,0,0,0,16,24,24,0,0,27,0,0,0,0,0,0,38,0,0,0,35,0,0,0,0,0,0,49,35,20,0,43,45
2018-05-01,7,0,0,46,19,0,0,16,17,19,0,19,0,0,0,0,33,0,0,0,24,48,0,0,0,0,0,0,0,0,18,0,0,0,0,0,32,0,0,42,0,24,48,0,19,0,0,15
2018-06-01,9,0,0,22,0,0,0,0,9,0,0,41,0,0,14,0,35,0,0,0,0,25,0,0,0,0,0,0,0,0,19,0,0,0,0,36,0,22,50,0,19,0,100,36,16,0,0,0
2018-07-01,5,0,0,18,0,0,0,10,5,0,0,19,34,0,13,0,16,0,0,0,0,0,0,0,0,0,0,19,0,0,0,12,0,0,0,0,32,21,0,0,0,24,0,0,8,0,0,30
2018-08-01,8,0,0,18,0,23,34,5,5,0,0,0,0,34,13,0,0,0,0,0,24,24,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,23,0,0,0
2018-09-01,19,0,0,46,19,0,17,15,5,19,0,19,0,17,13,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,37,0,0,0,0,0,42,0,0,18,24,0,0,19,30,41,0
