date,flu,flu recovery,having the flu,bird flu,flu duration,flu in children,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,flu in new mexico,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,human temperature,high fever,spanish flu,medicine for flu,cold vs flu,influenza type a,fight the flu,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,walgreens flu shot,normal body temperature,how to treat the flu,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,over the counter flu medicine,normal body,flu or cold,get rid of the flu,flu germs,ear thermometer,flu fever,early flu symptoms,symptoms of the flu,flu map,treatment for flu,cdc flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2012-10-01,17,0,0,32,0,0,0,0,55,25,0,0,0,0,0,19,0,4,0,0,16,0,0,9,0,0,45,0,0,0,0,22,0,0,0,23,0,47,0,0,0,0,0,0,0,26,80,27,0,0,0,0,41,0,32,0,0,0,0,0,0,13,0,9,35,0,0,0,0,0,32,0,0,0,28,0,0,0,0,0,0,0,0,0,26,0,0,0,0,29,0,0,0,0,14
2012-11-01,14,0,0,0,0,0,0,57,57,22,0,0,0,0,0,36,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,0,16,0,0,0,0,33,0,0,54,54,0,0,0,0,0,0,34,0,0,0,0,0,0,0,68,0,16,20,0,19,0,0,0,17,0,0,0,30,30,0,0,0,0,0,0,5,0,44,30,30,30,0,30,0,0,0,15,45
2012-12-01,23,0,0,0,33,0,0,56,0,33,0,15,0,0,0,46,16,5,0,0,24,0,0,28,9,0,47,0,0,0,0,45,0,16,0,0,16,14,0,0,0,0,0,0,0,0,41,0,81,0,0,0,0,0,0,0,0,18,0,18,0,49,0,13,13,0,38,0,19,0,25,16,0,0,0,29,0,0,20,0,40,0,5,0,27,45,30,0,30,0,0,0,0,0,30
2013-01-01,61,0,0,0,0,0,0,51,51,78,0,7,0,0,0,27,15,5,0,2,57,13,0,34,13,21,43,0,0,0,0,81,20,0,29,29,15,66,0,0,0,45,0,60,0,74,49,49,49,39,0,0,39,31,0,0,0,100,17,0,17,41,6,0,27,0,35,0,18,0,45,15,15,0,0,67,0,46,64,18,100,0,5,0,44,0,0,27,27,81,0,0,27,0,54
2013-02-01,15,0,0,32,0,0,0,0,0,14,0,0,0,0,0,47,13,3,0,0,20,9,0,36,0,22,22,0,0,0,0,42,0,0,15,0,0,14,0,0,0,31,0,0,0,0,26,26,0,40,0,0,0,32,0,0,0,0,52,0,0,19,12,6,9,0,18,0,0,0,16,16,16,0,0,28,0,38,0,0,19,0,0,0,15,28,0,28,28,29,29,0,0,14,42
2013-03-01,7,0,0,0,0,0,0,0,0,6,7,6,0,0,0,17,3,2,0,0,11,0,0,8,0,0,21,0,0,0,0,20,20,0,14,0,0,4,0,0,0,0,0,0,0,24,36,24,0,0,0,0,0,0,0,0,0,0,0,0,16,29,6,6,6,0,17,0,0,0,22,0,0,0,0,26,0,26,18,0,35,0,0,0,28,39,26,52,0,0,0,0,0,0,52
2013-04-01,8,0,0,58,0,0,0,0,49,0,0,0,0,0,0,38,0,2,0,0,11,8,0,0,0,20,0,0,0,0,0,29,19,0,0,0,0,0,0,0,0,0,0,29,0,0,47,0,0,37,0,0,0,0,0,0,0,0,0,0,0,29,0,9,6,0,0,0,0,0,44,14,0,0,26,0,0,35,17,0,0,0,0,0,14,0,0,0,26,0,0,0,0,0,46
2013-05-01,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,24,3,2,0,0,10,9,0,17,0,0,21,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,31,31,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,15,0,15,0,0,54,0,18,0,18,18,0,0,0,15,27,0,0,0,0,0,0,0,0,27
2013-06-01,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,13,0,3,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,18,0,0,0,16,0,0,0,0,28,0,19,19,0,0,0,5,0,10,0,28,28,0,0,0,0,0,0,43
2013-07-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,15,0,0,0,0,0,0,0,0,0,0,25,74,0,0,0,0,0,0,0,31,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,15,0,0,0,0,27,0,0,0,0,0,0,0,0,15,81,27,0,0,0,0,0,0,0,27
2013-08-01,4,0,0,0,0,0,0,0,0,7,0,7,0,0,0,23,0,0,0,0,4,0,0,0,0,42,0,0,0,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,30,0,0,0,0,0,0,15,0,12,6,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,10,27,0,0,0,0,0,0,27,0,26
2013-09-01,14,29,0,0,0,0,0,0,0,26,0,0,0,0,0,37,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,0,0,14,0,23,0,0,0,0,29,29,0,0,24,0,0,37,0,0,0,0,29,0,0,16,0,0,16,9,0,6,20,0,17,0,0,0,22,0,0,0,0,0,0,18,17,0,26,0,5,0,19,26,0,0,0,26,0,0,0,0,52
2013-10-01,19,0,0,0,0,0,0,0,0,42,0,6,0,0,0,37,3,0,0,0,12,0,0,8,0,0,0,0,0,0,0,27,0,0,0,19,0,47,0,0,0,0,39,0,0,43,43,22,0,0,0,0,0,0,27,0,0,0,15,0,0,21,5,5,26,0,0,0,15,0,20,0,13,0,0,24,0,0,0,0,0,0,0,0,26,24,24,24,0,0,24,0,0,0,36
2013-11-01,15,0,0,0,0,0,0,0,47,37,6,0,0,0,0,22,6,0,0,0,13,0,0,12,0,0,0,0,0,0,0,38,0,0,0,20,14,27,0,0,0,28,0,0,0,23,34,23,0,0,0,0,0,0,56,0,0,0,0,0,0,25,5,11,16,0,0,0,0,0,42,14,14,0,0,25,0,17,0,0,33,0,0,0,37,0,50,0,25,0,50,0,0,13,25
2013-12-01,22,0,0,56,0,0,47,47,0,0,0,6,0,3,0,44,6,0,0,0,21,8,0,16,12,0,0,0,0,19,0,19,37,0,13,0,27,17,0,0,0,55,0,0,0,23,23,23,23,0,0,0,36,0,28,0,0,0,0,0,15,30,5,8,0,0,0,0,0,0,14,0,14,0,0,25,0,17,0,0,0,0,0,0,23,50,75,25,0,0,0,0,0,0,50
2014-01-01,40,0,26,0,0,0,44,43,43,17,0,6,0,0,0,48,13,6,0,0,38,0,0,29,0,0,73,0,0,0,0,26,0,0,0,19,12,49,0,0,0,25,0,0,0,21,42,42,0,33,0,0,0,26,0,0,0,0,0,0,0,41,5,30,18,0,0,0,30,0,25,0,13,23,0,46,0,54,23,0,31,0,0,0,68,35,47,0,0,46,0,0,23,12,35
2014-02-01,20,29,0,0,0,0,0,0,0,0,0,6,0,0,0,54,3,7,0,0,20,0,0,12,8,0,61,0,0,0,0,68,19,14,0,28,0,11,0,0,0,28,0,28,0,47,0,24,23,0,0,0,0,0,0,0,0,0,0,0,16,23,0,8,6,0,17,0,0,0,14,14,14,0,0,51,0,26,0,0,0,0,0,0,61,52,26,26,26,0,0,0,0,0,39
2014-03-01,11,0,0,27,0,0,0,45,0,0,0,0,0,0,0,55,3,0,0,0,12,0,0,7,8,0,0,0,0,0,0,18,0,0,13,13,0,5,0,0,0,0,26,0,0,0,54,86,22,0,0,0,0,0,0,0,0,0,15,0,0,18,5,5,0,15,0,0,0,0,26,0,0,0,0,0,0,16,16,0,0,0,0,0,13,24,24,0,0,0,0,0,0,0,77
2014-04-01,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,51,5,0,0,0,9,8,0,12,0,19,0,0,0,0,0,18,0,0,26,0,0,3,0,0,0,27,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,16,0,16,0,0,0,0,18,24,24,0,0,0,0,0,0,0,61
2014-05-01,11,0,0,0,29,0,0,0,0,0,0,0,0,3,0,26,6,2,0,0,9,8,0,16,8,20,20,0,0,0,0,39,0,0,14,0,0,0,0,0,0,0,29,28,0,24,59,0,24,0,0,0,0,29,0,0,0,0,0,0,0,40,0,6,0,0,17,0,0,0,14,0,0,0,0,0,0,0,17,0,17,0,0,0,28,39,26,0,0,26,0,0,0,0,32
2014-06-01,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,20,0,3,0,0,3,0,0,0,0,0,24,0,0,0,0,23,0,0,16,16,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,34,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,17,0,0,0,30,0,0,0,0,0,0,0,0,0,6,30,0,0,0,0,0,0,0,0,38
2014-07-01,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,32,0,0,52,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,13,0,0,18,0,0,0,16,16,0,0,0,28,0,39,0,0,0,0,5,0,21,0,0,0,28,0,0,0,0,0,0
