date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,flu like symptoms,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu symptoms 2018,high fever,spanish flu,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,flu in kansas,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,food poisoning,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,free flu shots,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,cold or flu,flu medicine,flu remedies,flu shot side effects,signs of the flu,treat flu,how to get rid of the flu,body temperature
2012-09-01,15,49,49,0,0,4,0,0,0,19,0,6,0,0,0,4,23,34,17,0,0,4,0,0,3,13,0,7,0,0,0,0,16,15,0,0,0,28,0,0,2,6,0,0,0,16,31,0,0,0,0,0,7,0,63,0,0,0,49,0,49,5,5,0,26,18,0,0,0,0,0,0,56,0,0,0,0,0,0,12,0,12,0,0,0,19,0,0,0,0,0,0,62,0,0,0,49
2012-10-01,19,0,0,0,0,7,0,0,0,53,0,6,0,2,0,2,33,16,32,0,0,11,1,0,3,16,0,13,0,0,0,0,21,35,14,14,14,37,0,0,0,5,0,0,0,0,15,15,0,0,0,6,0,0,58,0,0,0,23,0,0,4,11,5,38,52,0,9,9,0,0,0,45,0,25,0,0,0,12,12,0,12,0,0,12,59,5,5,5,0,39,0,19,0,12,0,69
2012-11-01,13,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,34,23,16,0,0,14,1,0,3,12,6,6,0,10,10,0,25,14,0,54,14,20,0,0,0,5,0,0,0,71,0,0,0,0,0,6,6,0,30,0,6,0,56,0,22,7,28,7,26,25,0,0,17,0,0,0,43,0,24,0,25,0,0,23,0,0,0,11,23,57,4,11,0,0,57,19,19,11,11,0,62
2012-12-01,25,0,0,0,0,17,1,1,3,19,0,0,0,0,0,0,42,43,37,0,0,22,1,0,5,19,4,15,0,7,7,0,35,28,0,14,9,16,0,1,3,3,4,0,0,10,10,20,0,6,0,19,10,3,22,3,2,0,46,0,54,4,74,11,38,17,0,0,23,0,25,0,30,0,34,0,25,8,8,16,16,8,0,8,20,58,3,20,0,13,33,59,0,8,8,0,39
2013-01-01,56,29,58,0,0,30,1,1,1,37,11,4,0,0,0,1,53,30,45,0,0,62,1,0,9,75,16,18,0,26,7,0,29,31,9,35,0,36,0,2,2,5,7,0,0,19,9,19,0,4,0,20,10,2,53,2,10,0,43,14,79,17,82,13,45,44,5,0,16,19,38,0,47,24,32,32,24,7,7,66,7,22,7,11,29,83,6,19,9,25,80,43,49,7,15,7,47
2013-02-01,22,0,0,0,0,18,2,1,1,0,0,5,0,2,0,2,52,29,29,0,0,27,1,0,3,23,0,11,0,9,0,0,33,31,0,25,25,10,0,0,2,5,5,0,0,40,13,13,0,6,0,28,0,3,45,3,5,0,21,0,31,8,39,10,30,0,0,0,0,0,20,0,27,23,23,0,0,10,0,21,10,0,11,0,11,64,0,12,4,18,44,0,0,10,0,10,37
2013-03-01,8,0,0,0,0,8,0,0,1,0,5,0,0,2,0,3,35,13,38,0,0,11,0,0,4,23,0,15,0,0,0,0,16,61,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,31,0,0,0,27,0,18,4,25,18,21,0,0,0,14,0,12,0,18,0,20,0,0,0,19,37,0,0,0,0,14,34,0,5,4,0,15,16,0,9,9,0,55
2013-04-01,8,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,29,33,13,0,0,6,0,0,2,23,5,5,0,0,0,0,17,11,11,11,0,2,0,0,0,0,4,0,0,0,0,12,0,0,0,0,5,2,45,0,2,0,28,0,19,4,7,4,26,0,0,0,0,0,0,0,61,0,0,0,21,0,0,77,0,19,0,0,0,28,0,11,6,0,16,16,16,0,9,0,43
2013-05-01,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,2,27,0,0,0,0,2,1,0,0,11,0,0,0,0,0,0,18,18,12,12,0,2,0,0,0,0,0,0,0,39,26,0,0,0,0,5,0,0,28,0,0,0,20,0,0,8,12,0,47,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,0,50,0,4,4,17,0,17,0,0,0,0,51
2013-06-01,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,36,15,15,0,0,6,0,0,1,6,6,6,0,0,0,0,15,20,0,0,0,0,0,0,2,5,0,0,0,28,14,0,0,0,0,6,0,3,33,0,0,0,0,0,0,0,9,0,32,0,0,0,0,0,0,0,42,0,0,0,24,0,0,0,0,11,0,0,0,32,0,4,0,0,18,18,0,0,0,0,33
