date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,oklahoma flu,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu type a,flu care,flu headache,human temperature,high fever,medicine for flu,flu treatments,influenza type a,fight the flu,flu a symptoms,influenza symptoms,how to treat flu,reduce fever,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,flu in oklahoma,swine flu,flu cough,over the counter flu,contagious flu,what to do if you have the flu,signs of flu,over the counter flu medicine,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,stomach flu symptoms,symptoms of bronchitis,what is the flu,oscillococcinum,flu medicine,flu remedies,flu complications,signs of the flu,how to get rid of the flu,body temperature
2012-10-01,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,68,4,6,11,0,0,5,0,0,2,5,7,5,0,7,0,7,13,29,0,0,0,39,0,0,0,0,0,0,0,18,44,0,0,8,8,8,8,0,0,19,0,7,0,22,0,18,5,10,5,7,0,7,7,20,0,20,0,0,0,12,12,2,2,0,2,0,3,0,43,0,0,7,0,0,0,0,0,0,61
2012-11-01,9,0,0,87,0,0,0,0,9,0,30,0,0,0,0,53,5,0,4,0,0,9,0,0,2,6,8,0,0,0,0,0,21,30,0,0,0,16,0,0,0,0,0,5,0,0,36,0,0,0,0,16,8,0,0,0,0,15,0,22,7,23,5,5,5,0,7,14,0,0,10,31,0,0,0,0,0,0,2,3,0,0,6,0,46,21,7,14,0,0,13,0,0,9,32
2012-12-01,18,0,0,0,0,9,9,0,17,0,27,0,0,0,0,64,13,18,12,0,0,18,2,0,5,24,0,15,0,13,0,0,13,55,0,0,0,18,0,0,0,0,10,5,7,16,41,16,0,0,0,22,22,0,18,0,0,14,13,27,27,31,14,9,9,13,7,7,0,14,9,33,9,0,0,0,0,0,10,12,2,3,3,0,49,13,0,6,13,23,23,0,11,0,45
2013-01-01,59,41,40,40,0,0,13,0,40,28,42,0,56,0,0,78,28,17,83,0,8,66,1,0,11,67,0,14,0,26,10,0,55,100,29,71,86,57,0,0,0,8,28,13,5,0,51,25,0,23,8,30,23,19,57,95,0,21,7,56,24,54,22,24,19,40,7,57,0,44,0,19,10,34,0,0,74,2,21,45,6,6,24,0,87,20,39,33,7,24,24,0,47,17,72
2013-02-01,18,0,43,43,0,9,9,0,37,30,58,0,0,0,0,60,14,4,15,0,0,17,1,0,6,17,0,4,0,14,0,0,31,90,0,30,0,5,0,0,0,5,8,0,0,0,0,18,0,8,0,20,8,0,0,20,0,11,7,0,15,18,8,8,0,7,0,21,0,15,10,51,21,12,12,0,12,3,11,20,3,0,9,0,44,7,0,7,0,25,0,12,0,0,58
2013-03-01,7,0,40,40,0,0,9,0,17,0,27,0,0,0,0,34,5,8,12,0,0,7,1,0,2,14,5,7,0,6,0,0,19,27,0,0,0,3,0,0,0,0,0,0,0,17,66,0,0,0,0,36,14,0,0,0,0,7,7,17,14,24,12,5,5,7,0,7,0,9,0,14,9,0,0,0,11,0,5,4,0,0,3,0,35,6,6,0,0,0,0,0,11,0,16
2013-04-01,5,0,0,0,0,0,0,0,7,23,0,0,0,0,0,39,2,3,3,0,0,5,1,0,1,7,0,3,0,0,0,0,11,12,0,0,0,3,0,0,0,9,0,0,4,14,99,14,0,0,0,9,0,0,0,0,0,0,0,12,6,35,8,8,4,6,6,6,0,8,0,20,0,0,0,0,10,1,1,5,0,0,2,0,34,0,16,0,5,0,20,0,0,7,18
2013-05-01,2,0,0,0,0,0,0,0,0,37,24,0,0,0,0,42,0,0,4,0,0,3,0,0,0,11,3,0,0,0,0,0,6,12,0,0,0,1,0,0,0,5,0,0,5,15,67,15,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,0,6,0,0,0,0,9,0,21,0,0,0,10,0,0,0,0,1,0,0,0,33,0,6,0,0,10,0,0,0,0,52
2013-06-01,2,0,0,0,0,7,0,7,0,22,0,0,0,0,0,23,2,3,0,0,0,2,0,0,1,0,0,3,0,5,0,0,23,44,0,0,0,0,0,0,0,4,0,0,0,13,53,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,4,0,0,5,0,0,0,23,8,4,0,4,0,0,0,0,0,0,2,0,29,0,0,0,0,0,0,0,0,0,33
2013-07-01,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,21,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,12,41,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,15,0,9,0,0,0,9,0,0,0,53
